text,language,label,lingua_label
"Күтейік, анықталатын сияқты. Процесс жүріп жатыр ғо, асықпаңдар.",kaz,,mixed
"Сабыр, процесс жүріп жатыр ғо. Экономика қалпына келіп, тұрақты өсу байқалады. Енді осы қарқынмен үздіксіз даму керек.",kaz,,mixed
Ата анасына шын жүректен көңіл айтамын. Алдын ала қорытынды жасамайық. Құзырлы органдармен сот шешімін күту дұрыс болар.,kaz,,mixed
"Марқұмның туған-туыстары мен жақындарына шын жүректен көңіл айта мын. Қазір ашық тергеу жүргізіліп жатыр, нақты себептері әзірге белгісіз. Асығыс қорытынды жасамай, тексеру нәтижесі мен сот шешімін күту керек деп ойлаймын.",kaz,,mixed
"Күтіп көрейік, полиция процесс жүргізіп жатқан сияқты. Барлық күдікті тексеріліп жатқан шығар.",kaz,,mixed
КЕРЕМЕТ Алға Рыбакина Алға Қазақстан Республикасы в полуфинале обырыграла тенисистку из росии,kaz,,mixed
"Елена кутты болсың, Алға Қазахстаң! Заслуженная победа, скромная воспитанная красавица!",kaz,,mixed
"Елена Алға! Молодец , құтты болсың!!!",kaz,,mixed
Рыбакина наша  Алға Қазақстан Республикасы сделай россиянку под ноль!,kaz,,mixed
"Жасы 1000 келіп киіп алған шорты ұят емеспа, көргенсіздік...",kaz,,mixed
"Шынында ұят, жалаң аяқ, бут, киелі камзол үстіне киип, тукирип тұр баянка, шексіз мәдениетсиздик, корггенсиздик, Аида құрбысы, баянка ға сот жоқ, байына Абылай ханның шапанын кигізед, шортимен, ",kaz,,mixed
"СНГ выпускной жасайтын шығар қазақстан сияқты шығындалып, дамыған елде біздікіндей өтпейді.",kaz,,mixed
"1998 жылы мектеп бітіргенімде выпускной болмайды дейтін, 28 жыл өтті әлі мектепте, ата-аналарда жасап келе жатыр. Айтылатын тек әңгіме болып қалған. Осы министр выпускнойға толық шектеу қойып, тоқтатса, үлкен істі атқарғаны.",kaz,,mixed
"Жастар көп, грант бәріне жетпейтін шығар. Бірақ әртүрлі қолдау бар ғо, ата-аналар да көмектесер. Неше түрлі бағдарлама бар, бір жолын табар.",kaz,,mixed
Қайырлы болсын Есмұхан ағамыздың жаны жәннатта болсын. Театр өнеріне көп еңбек сіңірген тұлға еді.,kaz,,mixed
"мм, көктемде талай жер бар ғо балық аулайтын",kaz,,mixed
Құбылмалы ауа райы екен ғо. Шторм ескертуі де бар. Сақ болайық.,kaz,,mixed
"Одного назовите Орманбек,""орман"" это лес... будет Орманбек Құрманбекович.",kaz,,mixed
"Тамада, әртістер, бишілер налог төлейма",kaz,,mixed
Молодец полицейский екен. Мұндай ерлік керек бізге.,kaz,,mixed
"Сабыр, процесс жүріп жатыр ғо. Жаңа жүйе ғой, қателіктер болады. Енді дұрысталар.",kaz,,mixed
"технология мен экономиканы ынталандырады, жақсы бастама",kaz,,mixed
"негатив бар болса да, өңірлердің дамуына уақытында көңіл бөлген дұрыс",kaz,,mixed
"Жақсы, қимыл бар сияқты. Экспорт өседі ғо.",kaz,,mixed
"Мұндай схемалардан сақ болу керек. Банк қызметкерлері жақсы жұмыс істеп жатыр ғо, алаяқтықтан қорғайды.",kaz,,mixed
"информация полезная, штраф жағынан ескерілген дұрыс",kaz,,mixed
Елден қашып жүргендер кит кашолоттар көп қой кілең май шабақтар ұсталып жатқан  ол қалай екен деймін да аааа,kaz,,mixed
"Жақсы жаңалық екен, банк жақсы дамып жатыр ғо.",kaz,,mixed
"жақсы бағыт, банк саласы өсуі елге ұтамыз",kaz,,mixed
"Жақсы көрсеткіштер, банк сенімді әрі дамып келеді",kaz,,mixed
"Нефть қымбаттауы жақсы, бірақ бәрі бірден оңай болмайды, инфраструктураны жақсарту керек",kaz,,mixed
"Сабыр, процесс жүріп жатыр ғо. Көрейік, бәрі анықталады.",kaz,,mixed
"Ой, жарайсыңдар! Көмектескен екен ғой.",kaz,,mixed
"круто, талантты болса қолдау керек",kaz,,mixed
"Қимыл бар, процес жүріп жатыр ғо. Мұндай шаралар керек-ақ.",kaz,,mixed
Токаев пен Мирзиёевтің кездесуі елге жақсы жаңалық әкеледі екен,kaz,,mixed
Почетный караулда қыздар не істеп жүр?,kaz,,mixed
"Отлично, молодцы девчата, спорт арқылы ел абыройы артып жатыр",kaz,,mixed
"Шетелмен жақсы байланыс ғо, технология, туризм де дамиды енді.",kaz,,mixed
"Көршімен тату болған жақсы ғо, жол ашылады. Пайдасы тиер сияқты, экономика, экология жақсарады.",kaz,,mixed
"шетелмен жақсы байланыс ғо, көршімен тату болу жеңіл бәріне",kaz,,mixed
"жақсы, инвестиция мен технология дамып, елге пайдасы тиеді",kaz,,mixed
"Шетелмен жақсы байланыс ғо, технология, ғылым дамиды.",kaz,,mixed
"О, мықты көрсеткіштер ғой. IT саласы жақсы дамып жатыр, Astana Hub үлкен роль атқарып тұр екен.",kaz,,mixed
"неге жеке өмірге араласуға болмайтынын түсінікті, бизнес басқа әңгіме",kaz,,mixed
"Интересный момент, что бизнес бақылауы бар, ал жеке өмірге араласу шектеулі болып тұр, бұл заң жобасы дұрыс бағытта қозғалып жатыр",kaz,,mixed
Доллар мен евро арзандауы – нарық реттеліп жатыр деген сөз,kaz,,mixed
Бұл жақсы жаңалық екен. ЕАБР-мен ынтымақтастық Қазақстанның экономикасын дамытуға үлес қосады ғо. Инвестиция мен инфрақұрылымдық жобаларға көмек қажет.,kaz,,mixed
Осы жыл басында тенгенің нығайғаны сезіліп тұр ғой. Ұлттық банк жоспарлы жұмыс істеп жатыр.,kaz,,mixed
"Көршімен тату болған жақсы ғо, жол ашылады",kaz,,mixed
"Жақсы нәтиже, спорт арқылы ел абыройы өседі",kaz,,mixed
"Поздравляем наших боксеров! Жарайсыңдар, нағыз мықтылар ғой! ",kaz,,mixed
"Мықты ғо, ғылымға қолдау күшті екен. Цифр және ИИ жылы — дұрыс бағыт сияқты.",kaz,,mixed
"Круто, Нурбек жарайсың, елдің намысын абыроймен қорғап жүрсің",kaz,,mixed
"Класс, саламызға тағы бір алтын әкелді, жақсы болды",kaz,,mixed
"мм, жағдайды тез түзетсе жақсы болар еді",kaz,,mixed
"Отлично, молодец Асылкулов, спорт арқылы ел абыройы өседі",kaz,,mixed
"Жарайсың, Оразбек! Чемпион болу оңай емес, нағыз еңбекқорлықтың нәтижесі ғо. Қалған боксшыларымызға да сәттілік! ",kaz,,mixed
"мм, бағалар көтеріліп жатыр ғой, байқасақ.",kaz,,mixed
"Налоговая и валютная дисциплина укрепляется, движение капитала контролденеді жақсы болғаны ғой",kaz,,mixed
Токаевтың құттықтауы қыздарға үлкен мотивация болады,kaz,,mixed
"Ақпарат қой. Димаштың ойлары дұрыс сияқты, музыка арқылы көп нәрсе жеткізуге болады ғой.",kaz,,mixed
"Музыка арқылы мәдени дипломатияны дамытып жатқан дұрыс, елге имидж беретін нәрсе",kaz,,mixed
"Отлично, спортта Қазақстанның аты шығып жатыр, жақсы жаңалық",kaz,,mixed
"Жарайсың, Бублик! Қолдауға тұрарлық жетістік екен. ",kaz,,mixed
"топливо қымбаттауы экономикаға ауыр тиеді, мемлекет жағдайды бақылауда ұстап жатыр",kaz,,mixed
"Қарулы күштерді күшейту мәселесі бірінші орында тұру керек. Егеріде өз Әскерімізді күшейтпесек, басқа елдің әскеріне ШЕМ боламыз.",kaz,,mixed
"дұрыс шешім, техника жаңарып, қорғаныс күшейеді",kaz,,mixed
"Жарайсың, Дина! Чемпион болу оңай емес қой.",kaz,,mixed
"Дина молодец, жарайсың, елге қуаныш әкелдің",kaz,,mixed
"Молодец, спортта ел намысын қорғап жатыр, дұрыс бағытта жұмыс жүріп жатыр",kaz,,mixed
"Жарайсың, Надежда! Алтынды алып келді ғо. ",kaz,,mixed
"круто, что женский бокс Қазақстанда дамып жатыр",kaz,,mixed
"Жағдай бақылауда, запас бар екені жақсы ғой",kaz,,mixed
"Жақсы, бақылап отыр ғой бәрін. Дефицит жоқ екен, қор да жеткілікті. Сабырмен қарау керек енді.",kaz,,mixed
Сот үкімі дұрыс сияқты. Мұндай алаяқтыққа жол бермеу керек.,kaz,,mixed
"Жарайсың, Алматбек!  Чемпион болу оңай емес, жарады жігіттер!",kaz,,mixed
"Жұмыс басталғаны жақсы, амнистия елге жеңілдік әкеледі",kaz,,mixed
"Күтіп көрейік, бәрі анықталады ғо. Қорғаныс жүйесі жұмыс істеп тұр ғо, процесс жүріп жатыр.",kaz,,mixed
Контракт болу керек толық әскер дамыған елдердегідей,kaz,,mixed
"Болмайды ғой бәрін контрактқа ауыстыру, резерв керек.",kaz,,mixed
"Резерв керек, уақытында жасақ болып тұруы маңызды",kaz,,mixed
"Сабыр, процесс жүріп жатыр ғо. Қимыл бар, асықпаңдар.",kaz,,mixed
"Сабыр, процесс жүріп жатыр ғо. Қарап жатыр, өрт сөндірушілер қимылдауда.",kaz,,mixed
"Жарайсың Бублик, еліміздің намысын жақсы қорғап жатыр",kaz,,mixed
"мм, доллар сәл арзандапты ғо",kaz,,mixed
"Күтейік, сот әділ шешімін береді ғой.",kaz,,mixed
"барлығы дұрыс шара қолданылып жатыр, енді сот әділ шешім шығарса екен",kaz,,mixed
"мм, әркімнің өз ойы бар ғо, бірақ стаж бен жасты бірге қарау дұрыс сияқты",kaz,,mixed
пенсия мәселесі әркімнің жағдайына қарай шешілгені дұрыс болады,kaz,,mixed
Қазба байлықтары мол ғой. Жақсы көрсеткіштер екен.,kaz,,mixed
"Қазынамыз мол, дұрыс бағытпен дамыса жақсы болар еді",kaz,,mixed
"Не болды енді, жастайынан өз өмірлеріне балта шауып. Мына криминалды романтикалауды шектеу керек. Сол блатной романтикамен өскен балалар шығар.",kaz,,mixed
"Қарап жатыр, бос сөз емес сияқты. Қимыл бар екен ғо.",kaz,,mixed
"Түркіменстан мен Иран арасындағы жағдай әлі де шиеленісті, сабыр керек",kaz,,mixed
"мм, ""Кайрат"" жақсы ойнады ғо",kaz,,mixed
Аман болыңдар. Қайсы  компания автобусы.,kaz,,mixed
Төтенше жағдайлар қызметкерлерінің Еңбегі ерен ғой әр қашанда. Рақмет!!!,kaz,,mixed
"Жақсы бастама, транзит артса елге пайдасы мол болады",kaz,,mixed
Пожарный датчик шынымен қажет екен. Құтқарды ғой отбасын.,kaz,,mixed
"Жақсы, датчик уақытында жұмыс істеп, адам өмірін сақтап қалды",kaz,,mixed
"Керемет, Иэн Қазақстанға келсе, жақсы болар еді",kaz,,mixed
"Жібек жарады! Үшінші титул, керемет қой! ",kaz,,mixed
Жарайсыңдар қыздар! Бронза да жақсы жетістік қой ,kaz,,mixed
"Бақытымызға орай, жағдайды бақылауға алды ғой. Пострадавших жоқ екен, жақсы.",kaz,,mixed
"шетелмен жақсы байланыс ғо, туризм, мәдениет жүреді енді",kaz,,mixed
"Жастарға қолдау керек, ипотека арқылы жақсы мүмкіндік пайда болады екен",kaz,,mixed
"Көріп тұрмын, процесс жүріп жатыр ғо. Саденов бақылап отыр, бәрі анықталады. Сабыр сақтау керек сияқты.",kaz,,mixed
"Алга бокс ,Алга Қазақстан !!",kaz,,mixed
"Жақсы бастама, спорт дамуы елге әрқашан керек",kaz,,mixed
"Күтейік, сот өзі шешімін айтар.",kaz,,mixed
"Штраф қойып, тәртіпті қатаңдату керек сияқты",kaz,,mixed
"мм, қиын жағдай ғо. Бензин қымбаттаса, билет те қымбаттайды.",kaz,,mixed
"Көрдің бе, заң бәрібір жұмыс істейді ғо. Мына жағдайда сот дұрыс шешім шығарған сияқты.",kaz,,mixed
"Оралда ескі үйлердің алдында әлі күнге дейін қазық бар темір кольцо соған арналған, проспектте ескі қала жағында",kaz,,mixed
"Шторм ескертуі ғой. Абай болыңдар, ауа райына назар аударыңдар.",kaz,,mixed
"Қарап жатыр, бос сөз емес сияқты. Жақсы бағыт қой, қадағалау керек.",kaz,,mixed
"Қарап жатыр, процесс жүріп жатыр ғо. Жастарды қылмысқа тарту деген дұрыс емес, жігіттер. Енді тәртіп орнату керек.",kaz,,mixed
Ішуге болмайдығой я мен тек артизан суын ішем,kaz,,mixed
Осы дұрыс бағыт сияқты. Технология дамиды ғой.,kaz,,mixed
"жақсы бастама, технология дамыса елге пайдасы тиеді",kaz,,mixed
Жаңа стратегия елдің қауіпсіздігі мен дамуына нақты керек болып тұр,kaz,,mixed
"Негізі жолдарға қаражат бөлініп, техника жаңарса жақсы болады, бастысы ұрлық пен ысырап болмаса екен",kaz,,mixed
Осы дұрыс бағыт сияқты. Электр желілерін жаңарту керек ғой.,kaz,,mixed
Машина басып өтті ғой травма жоқ дейді,kaz,,mixed
Генконсульство РФ то при чемпохороны же помогает Ветераны Қазақстан и акимат Қазақстана,kaz,,mixed
Швелидзе деген қай елден келген?,kaz,,mixed
"Қанша адамды басып кетті емеспе машинамен, қалай пострадавших нет деп айтады?",kaz,,mixed
Мошенник үшін тиісті жаза керек енді.,kaz,,mixed
"мм, көктемде табиғатқа шыққанда абай болу керек ғо",kaz,,mixed
"Шамасы, жаңа схема енгізіп жатыр ғой. Қолға алып жатса, дұрыс шығар.",kaz,,mixed
Порогтан өткендер жаман емес екен ғо. Енді тәртіпке де қарау керек.,kaz,,mixed
"мм, қызық жағдай екен. Қазақстанда мораторий бар ғо, әзірше тыныш.",kaz,,mixed
"Қарап жатыр, бос сөз емес сияқты. Жақсы жұмыс істеп жатыр ғо, бәрі анықталады енді.",kaz,,mixed
Бангладеш огромный рынок и трудолюбивый народ. Пусть крепнет наше сотрудничество.Бірлігіміз жарассын,kaz,,mixed
Жақсы жаңалық екен. Срокты қысқарту дұрыс қадам ғо.,kaz,,mixed
"Шетелмен жақсы байланыс ғо. Экономика, технология дамиды.",kaz,,mixed
"мм, қызық құбылыс болды ғо",kaz,,mixed
Но удачи пожелать можно. Іске сәт.,kaz,,mixed
"Қызық жаңалық екен. Жас футболшының жетістігі қуантады ғо. Енді ""Челсиде"" өзін көрсетсін, табыс тілейміз! ",kaz,,mixed
Ішімдіктің кесірі ғой. Сот өзі шешім шығарар.,kaz,,mixed
"Шетелмен жақсы байланыс ғой. Туризм, технология да жүреді енді, тату болу бәріне жеңіл.",kaz,,mixed
"Сабыр, процесс жүріп жатыр ғо. Полиция жұмысын істеп жатыр, бәрі анықталады.",kaz,,mixed
"Жарайсың, Елена!  Керемет нәтиже, алға баса берсін!",kaz,,mixed
"Күтейік, бәрі анықталады. Полицейлердің батылдығына риза болу керек.",kaz,,mixed
"Казгидромет ескерту жасап жатыр ғо. Қауіпсіздік жағын ойлап, дайын болған дұрыс сияқты.",kaz,,mixed
Көктемде мұз қауіпті ғой шынында. МЧС дұрыс ескертіп жатыр. Бекерден бекер құтқарған жоқ екен 34 адамды.,kaz,,mixed
"Көрейік, процесс жүріп жатыр ғо.",kaz,,mixed
"Қазақ куресі, асық ату, тоғызкумалақ настоящая классика наша, Молодцы организаторы.",kaz,,mixed
"Қолдау бар ғо, халықтың белсенділігі қуантады. Туркестан жақсы көрсеткіш көрсетті.",kaz,,mixed
Дұрыс бағытта келе жатырмыз ғо. Конституциялық реформа маңызды.,kaz,,mixed
"Правильные вещи говорит: чистота начинается с себя. Акция Таза Қазақстан это тема, давно пора было за это взяться всерьез",kaz,,mixed
"мм, Наурызда Алматыда қызық өтеді екен ",kaz,,mixed
"Жақсы, операция сәтті өткен екен. Денсаулық тілейміз.",kaz,,mixed
"Көршімен тату болған жақсы ғо, бәріне жеңіл.",kaz,,mixed
"Жақсы, экономика да, технология да өсіп жатыр Алматыда. Қимыл бар ғо",kaz,,mixed
"Күтіп көрейік, процесс жүріп жатыр ғо. Әлі анықталады бәрі.",kaz,,mixed
"Дұрыс айтады, мұндайларға амнистия беруге болмайды. Қауіпсіздік бәрінен маңызды ғой.",kaz,,mixed
"Сізге және жақындарыңызға зор денсаулық, сабыр мен бақ-береке тілеймін. Барлық ізгі тілектеріңіз қабыл болып, алдағы күндеріңіз қуанышқа толы болсын!",kaz,,mixed
"мм, ауа райы қиындау болатын сияқты, сақ болайық",kaz,,mixed
"мм, Астана мен Алматыда көп екен ғо",kaz,,mixed
"Осындай жаңалық керек еді ғо. Жақсы жаңалық екен. Интернет болса, ұшақта да жұмыс істей бересің ғо.",kaz,,mixed
"Мынау шынымен де нашар жағдай ғо. Сабыр, процесс жүріп жатыр. Қимыл бар сияқты, бәрі ашылады.",kaz,,mixed
Жақсы жұмыс істеген ғо. Қанша наркотик көшеге шықпай қалды.,kaz,,mixed
"""профилактика семейно-бытового насилия"" - Ата-бабамыздың дәстүрін қайта жаңғырту керек. Сонда ажырасу, жесірлік, қорлық, күнкөріс деген проблемалар азаяр еді.",kaz,,mixed
"Депутат дұрыс айтады ғой, инфляцияны ескеру керек сияқты.",kaz,,mixed
"Жақсы, реформа ғой. Бәрін жүйелеп жатқан сияқты.",kaz,,mixed
"Сауда дамып жатыр екен ғо, жақсы жаңалық екен. Инвестиция да бар, логистика да түзеліп келеді.",kaz,,mixed
"Торговля жақсы дамып жатыр, инвестиция мен цифрландыру маңызды болғаны дұрыс",kaz,,mixed
Ал ағылшын тілі 10 жыл бұрынғы кітаппен оқып жүр. Парақтары глянцевый болғандықтан кітаптар шашылып кеткен.,kaz,,mixed
"Токаев пен Макронның сөйлесуі елге жаңа мүмкіндіктер ашады, дұрыс бағытта бара жатырмыз",kaz,,mixed
Өлім жазасың беру керек еді .Сонда наркотик сатуы тоқтайтын шығао.,kaz,,mixed
"жақсы көрсеткіш, көп балл жинағандар бар екен",kaz,,mixed
"мм, доллар мен евро арзандапты ғо",kaz,,mixed
"Ой, бұл жақсы жаңалық қой. Туризм мен спортқа қолдау қажет нәрсе сияқты.",kaz,,mixed
"дұрыс шешім, туризм мен спорт дамып, елге пайдасы тиеді",kaz,,mixed
Керемет жұмыс істеп жатыр екен. Мұндай реабилитация керек дүние ғой балаларға.,kaz,,mixed
"мм, қыс біраз ұстап тұр ғо",kaz,,mixed
"Көрініп тұрғандай, процесс тыныш өткен сияқты ғой. Жақсы екен.",kaz,,mixed
"Классно, что за рубежом тоже активно участвуют, елге керек жақсы бастама",kaz,,mixed
"Процесс жүріп жатыр ғо. Президенттің сөзіне сенейік, уақытты тиімді пайдаланып жатыр. Көрейік, жаңа Конституция пайдалы болар.",kaz,,mixed
Маулен Ашимбаев дұрыс істепті ғо. Әр адамның дауысы маңызды.,kaz,,mixed
"Базар жоқ,Японияда жүріп дауыс беріп жатқандары мықты екенМолодцы",kaz,,mixed
Америка мен Иран арасындағы жағдай ушықпаса игі болар еді,kaz,,mixed
"Қарақшыларды тез тауыпты ғой, процесс жүріп жатыр сияқты.",kaz,,mixed
"Осы халықты түсінбеймін. Тазалықты сақтап қалу үшін міндетті түрде ақылы жасау керек пе? Сосын жылайсыңдар ғой: ""ойбай жеп жатыр, тонап жатыр, қалталарына салып жатыр"" деп.",kaz,,mixed
"Күтейік, сот процесі жүріп жатыр ғо.",kaz,,mixed
"суд дұрыс шешім қабылдап, балаларға тыныштық берілген дұрыс",kaz,,mixed
"Ең бастысы өз жұмысын атқарса, результат үшін. ",kaz,,mixed
"Сабыр, процесс жүріп жатыр ғо. Полиция қарап отыр, бәрі заң аясында болу керек.",kaz,,mixed
"Жарайсың, Елена! Мықты ойын көрсеттің ғо ",kaz,,mixed
"классно, что молодежь кітап оқуға қайта құмар болып жатыр",kaz,,mixed
мен өзім осы Атырау қаласын да болдым тамақ бәрі жаксы болды Офицерлер жақсы кушті болды талай кызыктар болды кейде сағынады екенсің  Армияда қаншама неше түрлі солдат бар офицер сержанттарға да да онай емес Атысты алып тастай алмайдығо тем более жан жағымыз Мемлекеттер  соғыс Иманды болсың Ата -Аналарына сабыр берсің,kaz,,mixed
Иманды болсын құзыолы органдар барин аныктайд деп сенемиз,kaz,,mixed
"Токаев дұрыс айтады, өзіміздің елдің тыныштығы мен дамуы бәрінен маңызды",kaz,,mixed
"Жақсы, энергия өндірісі артса елдің дамуына септігі тиеді",kaz,,mixed
"Алмаз Джумакеев тәжірибесі бар, жақсы тағайындау сияқты",kaz,,mixed
"школа дұрыс шешім қабылдады, балалар үйден қауіпсіз оқыса жақсы",kaz,,mixed
"жақсы, қауіпсіздік бірінші, билет қайтару мүмкіндігі бар екені дұрыс",kaz,,mixed
"Низкий поклон, Вам, Касымжомарт Тоқаев! Я горжусь Вами!",kaz,,mixed
"дұрыс уақытында эвакуация жасап, халықты аман алып шыққан жақсы",kaz,,mixed
"Жақсы бастама, әйелдерге бизнес ашуға үлкен көмек болады",kaz,,mixed
"информация нақты қаралып жатыр, тыныштық керек",kaz,,mixed
"МЧС уақтылы көмектесіп, балаға шұғыл көмек көрсеткені жақсы",kaz,,mixed
"космос керемет ғой, адамға шабыт береді әрдайым",kaz,,mixed
"круто, Адилет нақты жақсы шықты, осылай жалғастырса елге абырой болады",kaz,,mixed
"круто, еліміздің атын әлемге танытты екен",kaz,,mixed
"Молодец, гордость для страны видно, спорт саласына көңіл бөлініп жатыр",kaz,,mixed
"Токаев дұрыс жасап, ел арасындағы достықты нығайту керек",kaz,,mixed
"Анна Данилина классно стартовала, Қазақстанның абыройын асырған дұрыс",kaz,,mixed
"Токаев дұрыс айтты, отбасы мен елдің болашағы үшін маңызды іс болып жатыр",kaz,,mixed
"круто, осындай істер жасалып жатса, халыққа жақсы болады",kaz,,mixed
"Бәрі өз орнына келер, процесс жүріп жатыр ғо.",kaz,,mixed
"нацбанк дұрыс бақылауда ұстап жатыр, әлі тұрақсыздық бар сияқты",kaz,,mixed
"Қарап тұрсаң, экономикада қимыл бар сияқты ғо. Кәсіпорындар кредитті алып жатыр, даму жүріп жатқандай. Базалық ставка жоғары болса да, бизнес тоқтап қалмаған. Ал халықтың несиесіне қатысты шаралар дұрыс сияқты, қарыз көбейіп кетпесін деп.",kaz,,mixed
"Рост цен на нефть даст толчок экономике, но ситуация мұқият бақылауда болу керек",kaz,,mixed
"Нефть қымбаттап, қаржы түсімі көбейеді, бірақ бәрі бірдей емес әлі",kaz,,mixed
"да, Дуров жаман сөз айтқан соң жауап қайтарды ғой",kaz,,mixed
"Жақсы шешім, экспорт дамып, шаруаларға оң әсері болады",kaz,,mixed
"Жақсы, компания заңға сай әрекет етіп жатыр деген сенім бар",kaz,,mixed
"Қарап жатыр ғо, процесс жүріп жатыр сияқты. Сабыр, бәрін қолға алып жатыр.",kaz,,mixed
"Телефон арқылы сөйлесіп, жағдайды бірге бақылап жатқаны жақсы, тыныштыққа үміт бар",kaz,,mixed
Розкіде жүргенде және эмигровый текендер келіп жатырмекен?,kaz,,mixed
"Қауіпсіздік маңызды ғо. Қимыл бар, эвакуация ұйымдастырып жатыр.",kaz,,mixed
"Интернет ауылдарға жетсе, дұрыс болар еді ғо. Қимыл бар сияқты.",kaz,,mixed
"Газ балондары мен ағаш отынмен пісірілетін тағамдарды 100% тоқтату керек,орындамайтын тұлғаларға қомақты қаржы төлетпей тоқтамайды.Алматы қаласының бұрыш бұрышындағы шашлык пісірушілер түтінін бұрқыратып әлі пісіруде",kaz,,mixed
"Жалко, жағдай қиындап тұр екен",kaz,,mixed
"Оперативно решают, маршрутов много, всех қайтарып жатыр",kaz,,mixed
"Эвакуация жақсы жүріп жатыр ғо, бәрін тыныш қайтарсын.",kaz,,mixed
"Порядок видно, полиция жұмыс істеп жатыр",kaz,,mixed
"Құтты болсын, процесс жүріп жатыр ғо ",kaz,,mixed
"Альтернативный жол салына ма?Салынса қашан,салынбаса неге?",kaz,,mixed
"Болгариямен жақын болғанымыз жақсы, туризм мен инвестицияға пайдасы тиеді",kaz,,mixed
"Для производителей нормально, импортпен жұмыс жеңілдейді",kaz,,mixed
"Сабыр, процесс жүріп жатыр ғо. Құтқарушылар тез қимылдаған екен. Пострадавших жоқ екен, жақсы ғой.",kaz,,mixed
"Жақсы, біздің азаматтар аман екен ғо. Дипломаттар жұмыс істеп жатыр, эвакуация жолдарын қарастырыпты.",kaz,,mixed
"Связались с соседями, бәрін бақылауда ұстап отыр",kaz,,mixed
"Главное, соғыс ушығып кетпесе болғаны",kaz,,mixed
Сот әділ шешім шығарған сияқты.,kaz,,mixed
"Хорошо, что лекарства стали доступнее, людям жеңілірек болады",kaz,,mixed
"Президент сам процесс бақылап отырғаны жақсы, жауапкершілік бар екенін көрсетеді",kaz,,mixed
"Война ешкімге керек емес, тыныштық болғаны дұрыс",kaz,,mixed
Людям реально қолдау көрсетіліп жатыр,kaz,,mixed
Теперь чистотаға көбірек көңіл бөлінеді екен,kaz,,mixed
"Наверное, басқа балама дәрі бар шығар",kaz,,mixed
"Спасатели мен полиция бірден араласып жатыр, іздеп жатыр ғой",kaz,,mixed
Дубайда едік өзбекстан арқылы алған рейс отмена болып отелде жатырмыз билетті қалаә аламыз,kaz,,mixed
"Хорошо, что заранее бәрін ұйымдастырып жатыр",kaz,,mixed
"Молодцы, осындай жетістіктер елдің атын шығарады",kaz,,mixed
"Главное — эскалация болмаса екен, тыныштық керек",kaz,,mixed
"Число азайыпты, бәрібір бақылауда ұстап отыр",kaz,,mixed
"Красава біздің спортшылар, еңбек ақталып жатыр",kaz,,mixed
"Жарайсың, Кристина! Нағыз чемпион екенсің ғой",kaz,,mixed
"Жастарға мотивация болды, жарады Кристина",kaz,,mixed
"Красава, Қазақстанның атын шығарып жатыр",kaz,,mixed
"Главное — чтобы дальше соғыс ушықпаса, тыныштық керек",kaz,,mixed
"Мықты жетістік қой, жарайсың Кристина",kaz,,mixed
"Жарайсың, Кристина!  Қазақстан үшін керемет жетістік қой.",kaz,,mixed
"Главное — эскалация болмасын, тыныштық керек",kaz,,mixed
"Главное — мир керек, соғыс ұзағынан созылмаса екен",kaz,,mixed
