text,language,label
"Срок продления — это правильно, экономикаға сәттілік болсын",mixed,
Для своих бәрібір қарап жатыр ғой,mixed,
Вакцина алмаған балалар көбейіп кетті ғой,mixed,
"Хорошие слова, на единстве всегда страна алға басады",mixed,
"На контроле держат, бәрі байланыста",mixed,
"Хорошая встреча, экономике де пайдасы тиеді",mixed,
"Неужели до такого дошло, соғыс болмасын",mixed,
"Все службы на месте, көмекті толық көрсетіп жатыр",mixed,
"Пусть мир и благополучие будут в каждом доме и в Астане, и в Эль-Кувейте. Ораза қабыл болсын всем",mixed,
Для наших всё равно лучше в трёх валютах ұстап отырған дұрыс сияқты,mixed,
"Организовано всё по правилам, процесс ашық өтеді екен",mixed,
"Правильно делают, без документов мясо тасуға болмайды",mixed,
"Работают нормально парни, порядок керек қой",mixed,
"Ораза қабыл болсын! ✨ Приятно видеть такой список лидеров в поздравлениях. Это лишний раз доказывает, что Казахстан уважают и на Востоке, и на Западе",mixed,
"Хорошо работают ребята, благодаря им люди жолда аман жүр",mixed,
"На самом деле, на производстве бұл маңызды шара, қауіпсіздік үшін керек нәрсе",mixed,
"Күтіп көрейік, анықталады ғо бәрі.",mixed,
"С соседями на связи быть всегда плюс, регион үшін маңызды вообще",mixed,
Жамандаған емес адам туратын кала емес екен,mixed,
"Всё по делу, если реально реализуют — мясо қолжетімді болады, экспортқа да жол ашылады",mixed,
"Хорошее дело, предпринимателям реально көмектеседі",mixed,
"Хорошо, что уже переходят на онлайн и новые правила разрабатывают, экологияға көңіл бөлініп жатыр",mixed,
"Так и надо было, пусть жауап береді",mixed,
"Кроме соболезнования, что принято - надо экстренно заняться обрубкой деревьев заслоняющихся на автодорогу и тратуары. Не уповать на месный Кудай сақтасын",mixed,
"Дұрыс, заң жұмыс істеу керек Казақстанда! Әбден басыңғаңдар. Қазахстан это не та страна, где каждый проходимец может вытирать ноги об нее",mixed,
"Всё по полкам раскладып жатыр, жүйе тұрақты болады енді",mixed,
"Не зря одиү из самых динамичных городов страны, и прокуратура здесь играет ключевую роль",mixed,
"Тихо бы все решилось, соғыс болмасын",mixed,
"Врачи красавцы, на высшем уровне жұмыс істеп жатыр",mixed,
"По делу говорят, все по-честному идет, сами шешіп жатырмыз",mixed,
"Все как и было, соцгарантии сақталады, уайымдайтын ештеңе жоқ",mixed,
"Хорошее дело, связи с Пакистаном крепнут, науке мен білімге де пайдасы тиеді",mixed,
"Все четко объяснили, спекуляцияға ермеу керек",mixed,
"Сложно сейчас совсем без интернета, все к нему байланысты боп кетті",mixed,
"Полезная штука для бизнеса, с бухучетом көп қиналатындар көп қой",mixed,
"Хорошая поездка, укрепление связей с Пакистаном важно. Туризм, экономика да жүреді енді.",mixed,
"Так то видно, что референдум сделали максимально прозрачным и легитимным. Президент может инициировать, но и Курултай, и Правительство, и Халық Кеңесі тоже могут предлагать",mixed,
"Серьёзный и грамотный подход, взвешенное и своевременное изменение в нашу Конституцию даёт надежду на существенное и положительное изменение облика целого Казахстана. Алға Қазақстан✊",mixed,
"Круто, Рыбакина на высоте, Казахстанды тағы да танытып жатыр",mixed,
"Часть денег уже вернули, қалғаны да бақылауда",mixed,
"Жарайсындар ! Предполагал ,что наши забьют 2 гола , но 5 -2 , поэтому можно сказать , что Кайрат - уже не плох ! Держался на уровне лучших команд АПЛ .. Сәттіліктпен женіс тілейміз болашақта ..",mixed,
"В принципе, людей да қорғайтын нәрсе ғой",mixed,
"Нормально сделали, отреагировали быстро — теперь и форма өзіміздікі, и спорт экипировка сапалы болады",mixed,
"Правильное решение, так детям түсініктірек болады",mixed,
"Все по правилам сделали, людей да қарапты",mixed,
"Я думаю, что она 100 процентов знала эту махинацию , ее надо наказать как организатора. Екіншіде басқаларға сабақ болсын",mixed,
Торговать с Монголией выгодно — ауыл шаруашылығы өнімдері жақсы өтеді,mixed,
"Всё поэтапно жүріпті, халықтың ұсынысын ескеріп жатыр",mixed,
"По делу сделали, халыққа әсері болмағаны жақсы",mixed,
"Хоть и рейды идут, но без самих дачников тут не решить — контейнер қойып, келісімге отыру керек бәрібір",mixed,
"Выглядит, как огурчик, где там понадобилась ""медицинская помощь""? Не болып жүр замынан таяқ жеп? Дәурен Есимханов қазақтың палуаны екен.)",mixed,
"Вакцина керек қой, балаларға обал болмасын",mixed,
"Құрылтайклассное название, больше духа страны, патриотизм без лишней бумажной теории, все через реальные дела. Молодцы, что не боятся реформировать систему",mixed,
"По делу всё сказал, нужные реформы и вопросы көтеріп отыр",mixed,
"По делу сказал, адамдардың пікірін ескеріп жатыр ғой",mixed,
А что совсем маленький ребёнок был😱😢Иманды болсын кішкентай періштем 🤲,mixed,
"Давно надо было — теперь и мясо, и экспорт, и село дамып кетеді",mixed,
ҚТЖ давно так уверенно не показывала динамику,mixed,
"Давно ждали такую ветку, теперь аэропортқа жету оңай болады",mixed,
"Хорошее направление, свои ресурсы надо детально изучать, инвесторам да и самим пайдасы көп болады",mixed,
"Очень жаль. Иманды, жаны жәннәтта болсын.",mixed,
"Всё по закону идёт, активтер қайтарылып жатыр",mixed,
"Проблема,что зарплаты так не растут ,хотя бы в теңге",mixed,
"Время пришло, без цифры қазір ештеңе жүрмейді",mixed,
"Хорошая тенденция, ИИ-менеджментті оқытып жатқаны дұрыс, сұраныс бар",mixed,
"Хорошо, что не отпустили, теперь по закону ответ береді",mixed,
"Дороги нужны всегда, особенно для регионов — логистика мен туризмге серпін береді",mixed,
"Интересно конечно, но факт вообще расталған жоқ",mixed,
"Не сендім, фейк сияқты қой",mixed,
"Всё по уму делают, бюджетке де тиімді болады",mixed,
"Хорошее направление, детям и учителям реально жеңілдеу болады",mixed,
"Удобно сделали, можно будет нормально отдохнуть и с семьей уақыт өткізу",mixed,
"Вопрос көтеріліп, қадағалап отыр ғой",mixed,
"Для регионов это реально нужная штука, сапалы жабдық та әкеліпті",mixed,
"Контакт с АҚШ всегда плюс, экономикаға да, сыртқы саясатқа да пайдалы болады",mixed,
Для малого бизнеса полегче болады енді,mixed,
"Всё правильно, продбезопасность важнее, пусть сначала елдің өзіне жетсін",mixed,
"Технологии реально выручают, молодцы что так шапшаң подключились",mixed,
"Кому не лень все что то хотят продать, что не так лежит🤦‍♀️ Қазақстанды  құрту",mixed,
США самая мощная держава и Конечнно Қытай. В мире осталось всего две сверх державы будут наверное конкурировать),mixed,
"Связи с США всегда нужны, экономикаға плюс болады",mixed,
"С одной стороны, балаларға зиян контент азаяды, бірақ бәрібір айналып өтетін жолын табады",mixed,
"Много всего за ночь, но прям острых новостей нет, просто әлемдегі қозғалыстар сияқты",mixed,
"Работают все службы, людей іздеп жатыр, қайғылы жағдай енді",mixed,
"Цифры большие, но спад уже начался — значит, жағдай бақылауда",mixed,
"Всё правильно, соседпен жақсы қарым-қатынас әрқашан тиімді",mixed,
"Для Казахстана это плюс — спрос тұрақты болса, экономикаға да жақсы әсер етеді",mixed,
"Деньги вернулись, проекты работают — экономикаға нақты пайдасы тиіп жатыр",mixed,
"Для села это реально маңызды, су мәселесі шешіліп жатыр",mixed,
"Хорошая инициатива, регионы оживляет и жастарға мүмкіндік береді",mixed,
"Иманды болсын. Өте қиын жағдай ,жас азамат бұл дүниеден өтті. Шідерті автобан и пост Гай? Без знаков за 1 км хотя бы? Так  нет.   Да были знаки о снижении скорости и я их увидел  случайно,там было оставлено около 5 фур и они своими габаритами закрывали знаки.14 қарашада Астанаға жол жүрдім, тас қараңкы, Шідертіде алдымнан пост шыға келді қудай сақтап өтіп кеттім. Осындай жағдай болмасын, берегите наших граждан. Иманы жолдас болсын.",mixed,
"Важный день, важный праздник для любого из народов, для любой страны. Құтты болсын",mixed,
"Первый раз слышу, чтоб за один приём можно ребёнку лечить несколько зубов да ещё под наркозом, внуков сама веду на прием к стомотологу один прием один зуб, перерыв день и только на 3день к стомотологу, тут какая та супер мама и стомотолог решили одним махом вылечить все зубы маленькому ребёнку, кишкентай саби жаның жатта болсын",mixed,
И так сол жерже жүр еді ғой,mixed,
"Қырық клеенкасыз пафос, но все по делу келдік, қабылдады, саммитке кірістік",mixed,
"Балқаш АЭС имя запомнится, проект реально мощный. Будет и работа, и технологии, и энергия для всех",mixed,
Вах Вах Прекрасно!!! Культура прежде Всего! Алға Қазағым!!!,mixed,
"Ребята, в очередной раз скажу, на олимпиаду она не поехала из-за микротравмы, она бы не смогла и тур пройти тогда, а так она на всех турнирах выступает под нашим флагом! Молодец, Елена! Алга, Қазақстан! 🇰🇿🇰🇿🇰🇿❤️❤️❤️",mixed,
"Молодец Елена, все так держать! Алга, Қазақстан!",mixed,
Президенттен сұхбат алу кез келген журналисттің арманы емес пе 🔥,mixed,
Ой зачем так пугать! По факту ведь не будет такого уведомления! Алла сақтасын,mixed,
"Дұрыс, адам басқарғаны жақсырақ қой",mixed,
"Байкамуров реально зверь на ковре, просто машина. Заслуженная победа,құтты болсын",mixed,
"Главное, что сейчас девочка бақылауда и көмектесіп жатыр",mixed,
Подземных паркингах надо запретить поркаваться электроавтомобили если загориться его не қақ не потушить.,mixed,
"Выборы акима в Семее — новый этап, халықтың дауысы естіледі енді",mixed,
"Много шума ночью было в мире, но нам главное — тыныштық пен тұрақтылық",mixed,
"Осень в этом году реально радует, фотки кайфовые шығып жатыр",mixed,
"Весь мир едет в Казахстан на заработки, а наша молодежь бежит из страны. Этот факт не красит страну и власть, которые не смогли создать нормальные условия для свои граждан. Советую власти послушать слова Голда Мейер (V-Премьер Израиля) по поводу выезда из страны своих граждан. Саны бір уысқа татымайтын, тарыдай шашылып жүрген қазақтың болашағы не болмақ?",mixed,
"Главное, чтобы всё было в интересах Казахстана. Негізі энергиямен проблеман шешуге керек АЭС👍",mixed,
"Бақылауға алынғаны жақсы, сапа артады деп үміттенемін",mixed,
Кучкуются воротаның қасында 🙊,mixed,
3 золота и одно серебро. Не плохо идем. Дальше интереснее! Алға Қазақстан!!!,mixed,
"Красавцы, на финал бәріміз болайық",mixed,
"Для инвесторов теперь двери открытее, имидж банка да и страны өсіп тұр",mixed,
"Потенциал для совместных проектов большой, технологии и ресурсы можно пайдаланып көрсе болады",mixed,
Аға бұл елден біз не аламыз? Не береміз?,mixed,
"Хороший шаг для людей, зарплата әділ болады",mixed,
Курс долларa опять подрос — экономике оңай емес сейчас,mixed,
"Резонно, давно надо было тарифы пересмотреть, транзит күшейсе, экономикаға да плюс болады",mixed,
Метан в балоне 50 атмосверы а на газе 15 атмосверы тақ что метан не дай бог если долбанет мало не покажеться.,mixed,
"Много важных шагов озвучили, особенно по ИИ и поддержке экономики — видно, что на перспективу жұмыс істеп жатыр",mixed,
"Спасибо, что предупреждают заранее, можно жоспарлап алуға болады",mixed,
"Хороший праздник для всей страны, нефть экономикаға тірек болып тұр",mixed,
"Безопасность важнее всего, люди сами түсініп жатқаны қуантады",mixed,
"Нормально, движ идет — и экономика, и соцсфера, и сыртқы саясат, бәрі қозғалып жатыр екен",mixed,
"Каждый пункт по-своему важен, но особо радует, что особняк Масимова теперь на пользу балаларға жұмыс істейді",mixed,
"Деньги в регионы идут, өндіріс пен инфрақұрылым дамиды енді",mixed,
"Рост хороший, прогнозы позитивные, экономикаға серпін болады",mixed,
"Спасибо за инфо, МЧС бәрін бақылап отыр ғой",mixed,
"Всё службы наготове, қауіпсіздікке көңіл бөлініп жатыр",mixed,
"Динамика хорошая, инвесторлар үшін де плюс, инфляцияға да шешім болады деп сенем",mixed,
"По делу, жөндеу керек қой, сосын бәрімізге ыңғайлы болады",mixed,
"Взаимодействие с Китаем для России сейчас реально важно, экономически и саяси жағынан да плюсы бар",mixed,
"Поддержка хорошая, лечение в Турции жаңа мүмкіндік береді",mixed,
"Вообще норм, что МВД подключилось, инфраструктура реально ақсап тұр",mixed,
"Ну, закон так решил, бақылауда болады енді",mixed,
"Ақшаны қайтарсын, халыққа обал емес пе",mixed,
"Погода вообще шатается, сақ болу керек всем",mixed,
"Прямой выход на китайский рынок — это уже уровень, экспортқа серпін болады",mixed,
"Погода вообще удивляет, северде уже заморозки, ал югта +38, на всякий случай бәрі сақ болсын",mixed,
"Пожарные реально отрабатывают, в горах оңай емес вообще",mixed,
"Хорошая поддержка для тех, кому реально қажет газ",mixed,
"Жестко взялись, порядок керек қой",mixed,
"По делу всё честно решили, пусть жауап береді",mixed,
"Давно надо было, мошенничество азаяды енді",mixed,
"Толковая поддержка, сразу видно — и новые заводы, и энергетика, и жұмыс орындары көбейеді",mixed,
"Ну, решение суда есть, значит бәрі заң бойынша жүріп жатыр",mixed,
"Красиво начали, атмосфера мықты",mixed,
"Все правильно, сезонға дайындық ерте басталғаны дұрыс",mixed,
"Ну всё по закону, правильно что тексеріп жатыр",mixed,
"Хороший визит — с соседями надо держать связь, экономикаға да әсері бар",mixed,
"Всё правильно, соседями тату болған жақсы",mixed,
"Врачи и министерство на контроле держат, барынша көмектесіп жатыр",mixed,
"Давно нужно было ужесточить, топливо сыртқа кетпесе — өзімізге жетеді",mixed,
"Давно нужно было, порядок үшін жақсы штука",mixed,
"Очень жаль, қайғылы жағдай",mixed,
"Деньги и время экономят, врачтарға да жеңілдейді екен",mixed,
"Хорошее движение, с соседями жақын болу всегда плюс",mixed,
"Молодцы, осындай жаттығу керек всегда",mixed,
"Встреча лидеров — всегда плюс для диалога, главное — чтобы мир мен ынтымақ болсын",mixed,
"Удобно будет, чаще ұшатындар көп қой енді",mixed,
"Красиво организовали, туризмге де әсер етеді",mixed,
"Хорошо, что про Абая не забывают, жастарға керек бағыт",mixed,
"Пожарникам и ЧС-никам оңай емес сейчас, на страже бәрібір",mixed,
Даму үшін осындай сапарлар керек қой,mixed,
"Срокын өтеді, енді заң бойынша шықты ғой",mixed,
"По делу делают, қыста тыныш болсын",mixed,
"Закон бәріне ортақ, бірақ балаға обал болды",mixed,
"Бұндай жағдайда амнистия дұрыс емес сияқты, балаға обал ғой",mixed,
"По делу работают, қауіпсіздік бірінші орында",mixed,
"Следят за этим, просто так өспей жатыр ғой",mixed,
"В сельской медицине обновление всегда кстати, люди күтті осыны",mixed,
"Без этого газ бы вообще исчез в некоторых регионах, так хоть нарықта тұрақтылық болады",mixed,
С налогами порядок будет — бизнес те ашық болады,mixed,
"Хорошее дело, людей еңбегін бағалап жатыр",mixed,
"Хороший шаг для региона, ООН-ның орталығы жаңа мүмкіндіктер береді",mixed,
"Если ваше дело попало к человеку "" бәрі бір"" , он вообще с место не поднимется.Мы такое пережили когда угнали "" Мерс наш"", мы сами нашли в СТО как после аварийную когда наш покупатель с Гольф клуба со скоростью 230 км/час за рулем был и сделал аварию.Машина была по доверенности , потому что он еще не расчитался полностью!",mixed,
Дружим со Швейцарией — экономикаға да плюс болады,mixed,
"Дополнительный транзит — это всегда плюс для бюджета, да и Қытаймен қарым-қатынас та нығаяды",mixed,
"Всё по закону идёт, теперь тәртіп болады",mixed,
Когда в США кризис они начинают войну чужими руками всегда так было Иран Китай Югославия и добрались до России. Енді не стимиз и все в таком приказом тоне(интересно закончат потом с кем начнут,mixed,
"Деньги в дело кетеді, әлеуметтік жобаларға пайдасы тиеді ғой",mixed,
"Это правильно, так хоть налоги толық түседі",mixed,
"Давно пора об этом напоминать, столько людей қақпанға түсіп жатыр",mixed,
"Хорошо что вовремя тоқтатты, жастарға зиян еді",mixed,
"Хорошая поддержка, с Турцией бірге болу өзімізге де тиімді",mixed,
"Лето у детей всегда быстро өтеді ғой, демалыс деген – балалықтың тәтті шағы",mixed,
"В целом, правильно что под рынок подстраиваются — молодежьке жұмыс табу оңайырақ болады",mixed,
"Всё правильно, свой металл ішінде өңделсін",mixed,
Саудада жүргендерге де осындай мереке керек қой,mixed,
"Хорошая инициатива, ИТ мен бизнес жақындаса береді енді",mixed,
"Хорошо, что дело уже в суде, полиция жұмыс істеп жатыр",mixed,
"Деньги сыртқа кетіп жатқаны қызық, бірақ бәрібір бақылауда ұстап отыр",mixed,
"Всё к удобству идет, наличка уже реально керек болмай қалды",mixed,
"Контроль есть, МВД на связи, бәрі бақылауда",mixed,
"Ассалаумағалайкум, да они члены ОПГ. В этой связи и задержаны.",mixed,
"Сотрудничество с Афганистаном — это и экономика, и аймақтағы тұрақтылық үшін пайдалы ход",mixed,
"Пусть уже договорятся, соғыс болмасын",mixed,
"Хорошая возможность для ребят, геологияға қызығатын жастар көбейіп жатыр",mixed,
"Хороший шаг, если реально контроль болады, сервис те көтеріледі",mixed,
"Летом всегда спрос на такие профессии растет, сезон ғой",mixed,
Адамдар ақшасына обал екен,mixed,
"Знание гос языка это важно, но казахи, вы сами помогайте, а то смотрите на лица и переходите на ""здравствуйте"".. Қайырлы күн, керек емес.. И прочее и проще будет всем.. Мои друзья при мне говорят на двух языках со мной и сильно мне помогают..",mixed,
Они не имеютт сухопутных общих ұраниц,mixed,
"На границе теперь намного быстрее будет, транзит пен саудаға жақсы әсер етеді",mixed,
"Хорошо что сразу убрали, иначе доверия болмас еді",mixed,
"Вот это реально работа, которую не видно, но без нее вообще тыныштық болмас еді",mixed,
Балаларға обал болдау,mixed,
"Интересно, как Франция такие автономии решіп жатыр",mixed,
"С Наадмын баяр шүү, Монгол ағайындар. Желаю чтобы этот праздник силы и духа принесет благополучие и удачу каждой семье. С уважением из Казахстана",mixed,
"Ну и правильно, надо идти на компромисс, а то басқа шығып алады 😅 В мире сейчас все через тонкий баланс идет где перегнешь, там и хлопнет. Лучше заранее договориться, чем потом тушить",mixed,
"Это не интернет! Это воспитание и то что видят дома! Мои дети тоже в интернете но такой жестокости,отбирания чего либо нет. Аллага шукир бари бар,жогында кордик,но осылай биреуден алып жулу,кореалмайтындар жоқ. Тәрбие үйден басталады! Неважно что говорит интернет важно что мы сами внушим детям нашим.",mixed,
"Правильно говорит, пограничные вопросы всегда надо с екі жақтың мүддесін ескеріп шешу",mixed,
"Изменений много, вроде бы всё по делу, быт пен заң жақсара ма екен теперь",mixed,
"Правоохранительные органы – на контроле, молодёжь спортта қуантады",mixed,
"МИД все правильно делает, безопасность бірінші орында",mixed,
"Көрсеткішке қарағанда, жағдайы жақсы болғаннан өмірге нәрестелер келіп жатыр. Сондықтан ""тұрмысымыз ауыр, күнкөріс үстінде жүрміз, айыппұл салып, жеп ішіп-жеп, қысып жатыр ... "" деп, беталды жылай бермеңдер",mixed,
"Война — это всегда беда, соғыс болмасын",mixed,
"Работают нормально, главное — урожай сақталып тұр",mixed,
Не Қазақстанская а при возная көрші елден.Наши пасутся на пастбищах же,mixed,
"Вот этого боюсь,они не должны поподать амнистию и бишімбаев",mixed,
"Переговоры с Болгарией и Словакией — внешка маңызды, LRT наконец-то сдвинулся с места, полиция с КНБ молодцы, а футболистам собраться надо🤔",mixed,
"В области Жетысу наблюдаю много много земель просто огорожено, да брең сараң мал қой жылқы жұр но это мизер по сравнению с миллионами голов в Советское Время!",mixed,
Инднксации зарплат и пенсий көпеечные. Рабөчих мест для инвалидов кто может работать в Караганде нет. Не знаю что делают чиновники. На их содержание тратяться большие деньги из бюджета и никто мышей не лөвит,mixed,
"Хорошая новость, теңге күшейіп жатыр",mixed,
"Вот все хвалят сорт ""Тулеевский"" очень скороспелый 40'-50дней и родина сорта Қазақстан. НО НЕМОГУ НАЙТИ",mixed,
"Кұтты болсын !Тарих та калады ,Так держать ! Также  продолжить  во взрослых соревнованиях !!",mixed,
Өзбек қыздары слабее. По юношам и мужикам да там өзбеки держат удар!,mixed,
"Тюрк әлемі — это не просто союз. Это жүрек со стуком на одну частоту. Казахстан, Узбекистан, Турция, Кыргызстан, Азербайджан, Венгрия — бір тамырдан шыққан, тек жолы әртүрлі болған халықтар. И вот теперь, при Токаеве, мы снова сидим за одним дастарханом. Это не просто история — это ұлы қайта өрлеу. Бабалар армандаған күн осы!",mixed,
"вот это крутая новость, у нас дома папа работает в производственной сфере — он сразу сказал: “осындай жүйе бұрыннан керек еді”",mixed,
"Рядом расположенные районы КЗ тоже пострадали,біз света около 2,5 часа ,но и резко остановился буря",mixed,
"Отец говорит: ""Есеп берген – жауап береді"", и это правда. Хорошо, что Токаев держит на контроле. Инфляция, курс, резервы — всё важно, особенно когда каждый день на базаре цены смотришь☝️",mixed,
"Жарайсындар, балалар! Рахмет сендерге, Қазақстаннын абыройын көтергендеріне! Я верю в нашу страну, когда есть такие умные, развивающиеся люди! Горжусь!!! 🔥🎊🫶🙏😘",mixed,
Заслуженная награда.Куаныш Султанов много сделал для страны.Құтты болсын,mixed,
"После такого визита понимаешь, что спорт — часть нашей культуры и это важно. Токаевтің қатысуы халықты біріктіреді және жастарға үлгі болады. Вся страна гордится нашими атлетами, особенно в тяжелом весе. Пусть эти соревнования станут началом новых достижений",mixed,
"он же не только поэт был, журналистику да көтерген ғой",mixed,
Жарайсыңдар батырлар 🇰🇿💪🏻 все было на высоте 👍,mixed,
"Да не нужно связываться с    грабителями ,нужно все отдать и не сопротивляться.Из за  снятой кожанной куртки убили человека. ,пенсионера за 10000 теңге.Они же нелюди.",mixed,
"Молодец что такие вещи не забывают. Ассамблея реально көп жыл болды, и видно что она жұмыс істеп жатыр",mixed,
Ауызбен толтырып жылда өтірік сөйлеп басшылар жаман үйренген салған мектептерінде сапа мүлдем жоқ   .,mixed,
"Туыстарына қөніл айтамын, Иманды болсын. Что то в Жамбылской области часто погибают сотрудники",mixed,
осындай кезде ощущается что работа правоохранителей реально бағаланады,mixed,
"соцэконом развитие – это и дороги, и вода, и жұмыс, надеемся, будет польза",mixed,
"инвестиции почти на триллион теңге – это уже не просто анонс, а конкретная работа",mixed,
"Не зря говорят — ""алтын ерге емес, ер алтынға жарасар"", это про них!✊",mixed,
Самое главное без потерь. Жарайсыңдар 👍,mixed,
"Көрші ақысы – тәңір ақысы деген сөз бекер емес қой, қазақ әрқашан көршісіне жақсылық тілеген",mixed,
"Көрші ақысы – тәңір ақысы деп бекерге айтпайды ғой, хорошая поговорка, и по делу сказано👍",mixed,
"жақсы айтылған, на случай глобального давления всегда должен быть запасной план",mixed,
"Хорошая новость. Пусть лучше во всех сферах идет сотрудничество со всеми странами. Бәрімен тек достық, серіктестік қарым қатынаста болайық",mixed,
"Мы одни из немногих стран, которая имеет такие ресурсы, как редкие металлы. Осыны дұрыс пайдалану керек.",mixed,
"Бәсе, в Шымкенте сегодня прохладный ветерок",mixed,
"Астана сегодня прям қызыққа толы екен, бір жағынан Наурыз мейрамы, с другой стороны спорттағы жеңісіміз қуантады. Ал ауа райы, как всегда, на свой вкус — біресе қар, біресе күн шығып тұр!",mixed,
"Наурыз – это праздник тепла, и такие поздравления делают его ещё добрее. Казахстан и Россия поддерживают стабильный диалог, и это важно. Көктемгі көңіл-күйді сезініп жатырмыз",mixed,
"Поздравил и Казахстан, и соседние страны — это про уважение и единство региона. Әр елге арнайы құттықтау жолдағаны қуантады 👍",mixed,
"Теплые слова и хорошие пожелания всегда к месту, особенно в такой праздник как Наурыз. Стратегическое партнёрство между странами продолжается. Осындай дипломатиялық қадамдар керек",mixed,
"Программа «Ауыл құтқарушылары» – это хорошая инициатива, особенно для отдалённых населённых пунктов. Если ЧС-система модернизируется и в сёлах, значит, безопасность повышается на всех уровнях. Жақсы қадам 👏",mixed,
"Хороший визит, такие встречи всегда двигают сотрудничество вперёд. Казахстан и США работают в разных сферах, и каждая из них важна. Жақсы келіссөздер, жаңа мүмкіндіктер ашылады деп ойлаймыз",mixed,
"Такие встречи всегда важны, потому что на них закладываются новые инициативы. Казахстан и США взаимодействуют по многим направлениям, и этот диалог только усиливается. Жақсы нәтиже болады деп ойлаймыз",mixed,
"АНК – это про диалог и единство, и это правильно. Главное, чтобы это не было просто очередным собранием, а реально приносило пользу. Жақсы ұсыныстар күтеміз 👏",mixed,
"0,5% – это не рекордный рост, но в нестабильных условиях даже такой результат уже неплохо. Казахстан всё ещё привлекателен для инвесторов, и это главное. Жаңа жобалар көбейсе, одан да жақсы нәтиже болады",mixed,
