text,language,label,label_source,seed_id,batch,qc_flags
"Ескалиева Назгуль Орынбаевна участок 3 жақсы врач. Ауырып тұра алмай қалғанымда, дұрыс ем беріп, жағдайымды телефонмен сұрап, кеңес керек болғанда кері байланысқа шығып, біліктілік танытты. Рахмет, дәрігер! Еңбегіңіз еленіп, табысты болыңыз!",mixed,positive,llm_composer,,,
Назима офф адам мінсінбейді түріне карамай!,mixed,negative,llm_composer,,,
Огурцы помидор кетчуп кайда ет фри баска ештене вапше ужс,mixed,negative,llm_composer,,,
Акцияға макияж + причёска жасаттым. Полный день құртылған жок. Ішіндегі қыздар сабырлы салмақты екен. Макияж топ болды енди всегда келетин боламын,mixed,positive,llm_composer,,,
Тамактары оте дамды обслуживание кушты,mixed,positive,llm_composer,,,
"Асхат есімді офф өте күшті обслуживание ,тамақтары",mixed,positive,llm_composer,,,
Казан кебаб оте нашар буркырап кайнау керек кой и тек ет болу керек коп жерде тек ет келеды бул жерде 50% майымен келед унамады в общем,mixed,negative,llm_composer,,,
"Не только у нас бірақ, но и в Америке И это радует ",,positive,manual,,,
Барлык тамактары да нашарлап кеткен ! Уже екинширет келдим может бириншиде не повезло деп жок еш озгериссиз !,,negative,manual,,,
"нэйл мастер Айман лучшая
очеень приятная и всегда бәрін қалағандай жасап береді",mixed,positive,llm_composer,,,
"Рост есть, зелёные зоны расширяют, транспорт да жақсарып жатыр — норм движ идет",,positive,manual,,,
"Балкон рестораны өте қатты ұнады, администратор қыз өз жұмысына жауапкершілікпен қарайды екен, ол қыз как буд то ресторанның изюминкасы болып көрінді. Алла разы болсын, қызмет көрсеткен қыз-жігіттерге үлкен алғыс",mixed,positive,llm_composer,,,
Админ Жаннұр лучшая! Очень вежливая),mixed,positive,llm_composer,,,
"Полная антисанитария олесиндер жемендер и управляющий кыздарды хата шакырмай,свинарникты тазалап ал !",mixed,negative,llm_composer,,,
Өте күшті в подарок тағы 1еу салып жіберіпті рахмет.,,positive,manual,,,
Актив ломбард неге урлык затты кабылдайсыздар. Менын игровой приставкам sony ps5 прокатка менен алып сиздерге откизген. Без документ неге кабылдайсыздар.,mixed,negative,llm_composer,,,
"Администраторы боянып отыр барып саламатсызба десем , көзін бояп отырып иә айта беріңіз дейді совсем культурадан жұрдай! 

Админі нашар",mixed,negative,llm_composer,,,
"Aka oz jumysyn bilet, chetko kiyat sovetuiyu",mixed,positive,llm_composer,,,
"Шай ыстық емес. Бір заказды сонша куттік. Офицант жігітті ауыстыру керек болмаса жанына бір адам келсе жақсы болар еді. 
Жақсы көріп келетін ек. Көңіліміз қалды. Салатым даже келмеді де. Салфетка жоқ",mixed,negative,llm_composer,,,
"Сервис точно 0, заказ беріп, залда күтіп отырған клиенттен заказ номеріңіз қандай деп сұрамайды да, өзің барып сұрағанда ғана салқындап қалған заказыңды береді, и то пысылдап жақтырмай ",mixed,negative,llm_composer,,,
"Вообще 0 кою керек 
Субардинация деген мулде жокккк 
Приказывать етип сойлейды!
Записька жазылып , направление Алу 1 ай алады!!!!
Неприятные люди и поликлиника тоже )",,negative,manual,,,
Прямую кушту удобно и то арзанн.,,positive,manual,,,
Кассадагы кыздын клентке общениесы вобще 0000000 18 май,mixed,negative,llm_composer,,,
Абаархан өте керемет қызметші.доволые мы рвхмет,mixed,positive,llm_composer,,,
"тагамдары оте дамди,тез дайындалады танцпол кушти ,асиресе Аянат деген официант очень приятная жаксы обслуживать етедивау вау",mixed,positive,llm_composer,,,
"Барлығы ысстықтай келді , дәмі ұнады күшті, сервис вообще",mixed,positive,llm_composer,,,
"Тамақтары ыссы күйінде ,тез келдіОбслуживание топ",mixed,positive,llm_composer,,,
"ДОСТАВКА!!! 20 минут просто заказды қабылдауға кетті! Ия, мүмкін адам көп болған шығар. Сосын ҚАСЫҚ, ВИЛКА дым жоқ тамаққа қосып беретін!!! 360тг одноразовая посуда деп алғанын қайтейін! ҰЯТ ЕМЕС ПЕ?
Сұраған адамға ғана салады қасықты дейді, СҰРАҢЫЗДАР доставка заказ берсеңіздер.",mixed,negative,llm_composer,,,
"Кухня вкусная, атмосфера  а девушка Жазира , которая поет , у нее шикааааарный голос  официантка Нурайым оооочень вежливая ",mixed,positive,llm_composer,,,
Кушты прям катты унайды сурак койганда сразу комектесед,mixed,positive,llm_composer,,,
Рис гарнир Оте Нашар пысырылген бурынгыдай емес Каганат,mixed,negative,llm_composer,,,
"Саламатсыз ба,Фэмели парк ужымы тамактарыныз дамди, бирак сол тамакты дурыс жи алмадык шыбын толып жур, невозможно ",mixed,negative,llm_composer,,,
"Атмосфера просто вау!
Ислам аганы советую всем зор алады",mixed,positive,llm_composer,,,
Концерт Jlo или придти прикурить ? Мы выбрали- кальян. Ғасыр рақмет,mixed,positive,llm_composer,,,
Қонақ ұй жақсы таза. Кешегі Администратор грубый.,mixed,positive,llm_composer,,,
"Заведение очень грязный, честно сказать 
Тамактан мусор шыкты не советую
Как попало жасаиды тагамдарды",mixed,negative,llm_composer,,,
Абылай мастер своего дела! Мықты маман!,mixed,positive,llm_composer,,,
Быр туйыр етты жок как вермишель сиактты болып тур заказ бермей ак койындар,mixed,negative,llm_composer,,,
Оте кушты жер барауга советую,mixed,positive,llm_composer,,,
Телефондарын алмайды омири.Бала ауырып жатыр уй суык отопление деген атымен жок.Не маскара мыналарын,mixed,negative,llm_composer,,,
"Баламнын шашын  қидырдым. Жумыстары керемет аккуратно, модно, главное таза. Орамалдагы администратор нет слов, сыпайы, отзывчивая  молодцы  алга карай да жумыстарын журе берсын",mixed,positive,llm_composer,,,
"Бир емес үш рет бардым договор толтыруға, үш барып әрең дегенде жибергенде, заявка қабылданбай, соңында мен стоп-листка тусип қалдым. Направление де жоқ, не басқа садикке ала алмайсын",mixed,negative,llm_composer,,,
"Кеше суши мен пицца заказ берген болатынбыз,сушидан отравление болды үй-іші,ал пицца қатты болды тақтай сияқты",mixed,negative,llm_composer,,,
"Ұнады,тамақтары обслужениесі 
Офитцант жігіт Қанағатқа рахмет",mixed,positive,llm_composer,,,
"сервистары вообще унамады, можно было по вежливее
донерда овощи жокк + ожидание узаккк!",,negative,manual,,,
"Абдулова , Бакытгуль Жиеналина выгоняйте с работы Оз жумысынын маманы емес. Пациенттерге караулары Оте нашар даже 1 звездочку поставить жалко их",mixed,negative,llm_composer,,,
Обслуивания өте керемет тамақтары өте дәмді рахмет индираға,mixed,positive,llm_composer,,,
"Наватқа үлкен рақмет! Қызмет көрсетуі өте жоғары деңгейде, бәрі таза әрі ұқыпты. Қонақтарға деген қарым-қатынасы керемет, атмосферасы да өте жайлы. Тағамдары дәмді, бағасы да көңілден шығады. Тағы да келеміз міндетті түрде! Очень большой спасибо по имени Жүрсінбек хороший официант",mixed,positive,llm_composer,,,
нурлан деген барбер тема алат массаж дерск істит,mixed,positive,llm_composer,,,
Тамақтары не очень жеген күннен кейін ауырып қалдым,mixed,negative,llm_composer,,,
Ен жаксы аптека всега калада жок дарилер бар формацевт всегда сурағанынды тауып береді,mixed,positive,llm_composer,,,
Удобно и прям кушты сумкаға салып алып кете бересің.,,positive,manual,,,
Аптека жаксы сатушы кыздар да молодец ен бастысы багасы тиимди,mixed,positive,llm_composer,,,
"Ресепшндагы кыз оз жумысын билмейди, жазылып койган мастериме келип турсам али келмепти ма ол деп менен сурап тур. Обслуживание 0. В итоге мен куткен мастер ишинен шыгып тур уйктап. Сагат 12 ге жазылгам а так.",mixed,negative,llm_composer,,,
фиксированный прайс жок билген багасын айтады оган ундемеген едик ) поликлиникада истейди екен еще адам уксап мактап жиберген едим инимди акымак кылып 18 жаска толмаган балага истемейтин болсаныз клиникадан акша алманыз !,mixed,negative,llm_composer,,,
Балыктары дамы оте кушты оте керемет Гулнур деган кыз кушты карсы алды ашык мирымды керемет барыныздар,mixed,positive,llm_composer,,,
Сіздерге повар ауыстыру керек. Тамақтары страшно майлы слишком жаренный лук қоса берген даже куринный пиццаға дейін қосқан Шайларын 3 рет ауыстырттық  Мынандай суммаға тұрмайды,mixed,negative,llm_composer,,,
Жақсы алада екен стрижка ұнады,mixed,positive,llm_composer,,,
"Донерлер өте дәмді, всегда заказды уақытымен, ыстық күйінде жібереді.",mixed,positive,llm_composer,,,
Банкет жаксы отты рахмет нурдаулет официант молодец!,mixed,positive,llm_composer,,,
"Персонал куштеп шыга ма жумыска,заказ берсен через не хочу салады тамакты,немесе умытып кетеди де естимедим деп турады ,естиген жокпын Дейди кассага барсан,особенно биреуи бар ак орамал ак футболка кийп алган, постоянно недовольная через не хочу кабылдайды, бирак тамак керемет ",mixed,negative,llm_composer,,,
"1750 донери кур лаваш, ищи полупустой узын болсада.",mixed,negative,llm_composer,,,
Ждем 40 минут уже заказ че таааам,mixed,negative,llm_composer,,,
честно айтайын дурыс шаш алу буйрмай жур ед наконец то дурыс жер таптыкко Даулет от души,mixed,positive,llm_composer,,,
"Фильтрованный су бере алмайды , стакан балага! До этого раскраскалары бар кофейня бугин жок деп тур! Кунде келип журген жерим балалармен, обслуживание 0",mixed,negative,llm_composer,,,
Тамактары оте дамди.кыздарга Рахмет . обслуживание на высшем уровне.Ггг,mixed,positive,llm_composer,,,
Мынау ифтарга койган менюшашлычный емес па?второйга 1 порция шашлык косса болады.,mixed,negative,llm_composer,,,
"Көп екен, пачкасында еще тағы 1еун подаркаға салыпты, советую.",,positive,manual,,,
Обслуживание оте керемет! Сейтжанов Асылжан мырзага рахмет! Администратор кызгада алгысым шексиз диагнозымды уточнят етип тусиндиргенине  Тис емдегеннен кейын булай жагдайымды сурап жазган алгаш стоматология,mixed,positive,llm_composer,,,
"Ылғи келіп тамақтанып жүреміз, меню ауысқан, кейінгі екі рет барғанымда ұнамады тағамдары, кесірлік емес, но тамақ жылытпа, алғашқы қуырдақты аңсап қайтасың, салаттың жапырақтары дұрыс жуылмаған, тісіңде топырағы қытырлап шайнап қайттық. Еттерінің бездері алынбаған. Остается желать лучшего. Официанттеры жиі ауысады. ЕНДІ КЕЛМЕЙМІН!",mixed,negative,llm_composer,,,
"Нурайлым деген кыз кушты обслуживать етты,керемет. Бары унады ",mixed,positive,llm_composer,,,
Лаваштары вообще унамады соус дым көп лаваш жасау билмейды,mixed,negative,llm_composer,,,
"бәрі дәмді болды 
персоналдары да өз ісінің мамандары просто топчик 
тек осы жердің донерын жимін",mixed,positive,llm_composer,,,
Ужас мен фрукты бесплатно алган жокпынго акшасын тойлеп алдым сатушылар ширип кеткен фруктыларын салып жиберген Конак шакырам дурыстап салыныз дедим осы толеген чектеги кисиден алманыздар,mixed,negative,llm_composer,,,
"Никому не советую ходить именно в этот Каусар. Особенно на ауызашар. Ждали наш заказ пол часа, хотя был предзаказ. Обслуживание ужасное. Кроме официанта Сундет (Сека), который пытался спасти ситуацию и который действительно молодец.",mixed,negative,llm_composer,,,
Ужас вопше кассир кыздар дурыс жауап бермит грубо вопще былмит адаммен калаи солесу керек екенин,mixed,negative,llm_composer,,,
Емшара кабинет таза жаксы иши медсестра жакс 100%,mixed,positive,llm_composer,,,
Полный отсой. Шашлык өте дәмді емес. Және басқа да тағамдары дәмдң емес. Суретке түсіруге болмады.,mixed,negative,llm_composer,,,
"Прям куштыыы Акнур официантка кушты обслуживает , тамактары бомба 10/100",mixed,positive,llm_composer,,,
"Чехол супер, бағасына стоит, 3еу сап жіберіпті қасына.",,positive,manual,,,
"Донер норм но доставка тым ұзақ, 1,5 сағат құтақандай Ақтауда или курьер таксовать етема",mixed,negative,llm_composer,,,
Казір чикен алдым просто ужас балыктын майына қуырылған сияқты. Дәміде жок. Тауыктын остоткасынан жасаған сияқты жеттің жері жоқ. Алдың жақсы еді қазір айныган.,mixed,negative,llm_composer,,,
оте нашар риза емеспін ақшасына вобще не стойт.Жегеннен кейін құстым ,mixed,negative,llm_composer,,,
Самый ужасный полеклиника врачтары түк білмейді барсаң неге ауыра бересің неге келе бересің деп айқайлайды ужс пациентпен қалай обращаться ету керек білмейді флюра түсіретін әпкелер вообще грубая записке жазылсаң очередь деп кіргізбейді жауып тастау керек!,mixed,negative,llm_composer,,,
Операторлары жақсы екен сразу ответ жазады доставка тез жеткізіп берді,mixed,positive,llm_composer,,,
Самая ужасная пицца! Ең нашар пицца ! Әкелген соң 10 минуттан соң қатып қалды. Жеуге келмейді. Қалай осылайша тестасын жасайды? Бетінде сыр да жоқ. Хотя “Сырная пицца”деп аталады. Қонақтарымнан ұятқа қалдым.Мусорға лақтыруға тура келді.,,negative,manual,,,
Тамактары оте нашар кызмет корсету грубый унамады,mixed,negative,llm_composer,,,
"Отличный салон! Всегда все чисто, уютная атмосфера!Вежливый персонал! Мастера все профессионалы! 
Турсынай мастер по волосам, профессионал своего дела! ",mixed,positive,llm_composer,,,
Керемет қол жетімді бағада адал свежий ет.,mixed,positive,llm_composer,,,
"Шаш баяттым. Жаққан краска құлағым, Вопщем жан жағына тиген кетпид. Ещё кофтамды булдирди. Ещее 7000 тг толедим. Енди осылааай жүрем пазор боп.",mixed,negative,llm_composer,,,
Ата апамнын любимый корзиналарывсегда кунде южныйынан тамак аладыРахмет сол ушин южныйгаоте таза свежий всегда кулинариясы,mixed,positive,llm_composer,,,
шашлыктері өте керемет и қолжетімді дәл уакытта даиндап берді,mixed,positive,llm_composer,,,
"Прям маган қатты ұнады! Тамағы өте жақсы! Әжемізді апарып едік есіктің алдынан офицант жігіттер көмектесіп, кіргізіп молодец! Жалпы офицанттары өте сыпайы, Дильназды жаттап алғанмын! Басқалары да жақсы!",mixed,positive,llm_composer,,,
Мұхит Алтынбекович өз ісінің маманы. Самый лучший стамотолог,mixed,positive,llm_composer,,,
"Хожу в этот зал уже четвертый месяц, именно на сайкл к тренеру Эльмире, рахмет унайды! Админ қыздар да өте сыпайы, таза кең әдемі зал!",mixed,positive,llm_composer,,,
На звонки не отвечают. Не работает персонал. Осылардын жумыс истегени бизге бир миндет.,mixed,negative,llm_composer,,,
Хочу оставить честный отзыв. Мастер Гульмира кирик жасайтын. мастер своего дела. Баскасын не знаю. я к ней уже 3 -год хожу. Ресницы супер. Наращивание ресницы га барыныздар. Меен Касында карзинкада жумыс жасаймын. Жастканыма 4-5 кун болды,mixed,positive,llm_composer,,,
"Мен туалетке кетсем жеп отырған тамағымды алып кетіпті. Болды деп ойлаған шығар. Қарау керек қой ұятсыздар. Кішкентай баламмен жүр едім. С собой алып кетем деп ойладым қалғандарын. Тоймай, аш еще поезды далада 2 сағат күттім.",mixed,negative,llm_composer,,,
Рахмет Алла разы болсын мен туркестанан келгем жигитер маган комектесип машынамды полностью май аустырып ошибкасын оширип оталдырып берди алла разы болсын ризамын!!!,mixed,positive,llm_composer,,,
Прям тема жер куштыыыы советууююю адмиснтратор дын алм гершвлвгы мооол тема темаа тор топ тогжан тема темаа адеми сулааа куштыыыыы жеер,mixed,positive,llm_composer,,,
"Доставка бергенбыз дамы ужас иысы сасып
Пастасга шашлыктын грудкасын салып жбыерген пицца тоже онша емес.",mixed,negative,llm_composer,,,
"Өте нашар 
Қалай болса солай жуады 
Өздігінен сүрітпейді көрсету керек мына жерде сондада дұрыс емес",mixed,negative,llm_composer,,,
"Оте керемет болды ,обслуживане керемет,дамиде кушти и апетитно",mixed,positive,llm_composer,,,
Жұмысшылар шаршаса демалдырыңдар! без лука десе чиснок салып бересіңдерма? болмаса ішінде не болатынын бәрін жазып қойыңдар мәзірлеріңе,mixed,negative,llm_composer,,,
"Құрметті қарағандылықтар назар аударыңыздар!!!!
Кезіндегі екі адамға 5000,6000тглік тағам 12000тг өсіп кетті. Бағалары удай 
Десерттері қатып қалған 
Цены как в ресторане",mixed,negative,llm_composer,,,
"Мен бугын уйге балаларга алайын дегем тамак Оте дорекы жауап берды ,быз карточка не принимаем ,только ноличка деп Карапайым адамдарга кызмет корсеткылеры келмеды .Мен бырыншы рез кыргем быраз суммага тамак алсам ба деп ,оте окынышты ораза айында сондай кылык корсеткены еще Администратор",mixed,negative,llm_composer,,,
Мусор бари скидка деп баргам но киетин кийим емес Сол кытайдан вес мен олшеп сатып алып бизге келип сатып жатыр,mixed,negative,llm_composer,,,
"Обслуживание ноль! Сорпасы сорпа емес, су! Қарапайым шайының өзін қатырмайды! Келетін жер емес екен! ",mixed,negative,llm_composer,,,
"Бұзылып кеткен вообще обслужка 0 типить етіп жүрген офицанттар, тағамдары сапасы төмендеп кеткен. Жуа көп тұзы жоқ. Дәм жоқ тату жоқ",mixed,negative,llm_composer,,,
20 минут деп алып 40 минутка созып жіберді ужас,mixed,negative,llm_composer,,,
Прическу хорошо сделала Айша на тое классно держалась рахмет 31.10.2025,mixed,positive,llm_composer,,,
"Мааа ужас полный. Кірсем су алуға сұрайын десем дым демейді. Егер ондайы болса не себеппен отыр? Сұрасам көзін алартып, өзіме ыңғайсыз болды ғой. Сонда суды алып көтеріп кете салсам бәрі бір болмақ па? Бір ппц әйтеуір и донер там тоже онша емес Не стоит",mixed,negative,llm_composer,,,
Ребята просто красавчики отработали быстро и дешевле рядом автомлйка шыномонтаж даже запчасть работают до 11 часов ночи идеально и четко мастера вообше класс все понимают обьясняют все на высшем уровне таких сто и обслуживание в актобе еще не видел,mixed,positive,llm_composer,,,
"Іші тыныш, әдемі. Тамактары дәмді. Персонал керемет.",mixed,positive,llm_composer,,,
"Ассалаумагалейкум,донер оте дамди болып шыгыпты рахмет нурбкк повар красавчиу",mixed,positive,llm_composer,,,
"Так и не поздравили именинника с днем рождения, хотя сказали от администраций будет поздравления. Ақша бере бергенге үйреніп қалған гой. Арасында бір рет ақшасыз құттықтауға болар еді ғой. Сол ақшаны алып кетесің ба ана жаққа? ",mixed,negative,llm_composer,,,
"Бас косып, ангиме айтам десендер тот самый жер гой. Без слов… 10\10",mixed,positive,llm_composer,,,
"Ифтар сеттери нашар, колета с рисом суык катып калган, мантынын майы катып кплган",mixed,negative,llm_composer,,,
Тез келеди ыстыктай оте дамди кушти молодец жемисти болсын жумыстарыныз,mixed,positive,llm_composer,,,
"Вообще обслуживание нету адам болмасда бетимизге карап турды тупо, отравилась еще тамактары турып калган, вообще не понимаю тамактарын калай гостьтары берип жатканын,вообще ужасно",mixed,negative,llm_composer,,,
"Персоналы приятные вежливые , поварлардын колынан бал тамгандай дурумды дамды жасайды респект !!!!! Келген адам окынбей кайтады",mixed,positive,llm_composer,,,
"Ең жаман шаурма помидоры көп,соусы невкусный,исінен құсқым келді не стоит келмендер,соустары обычный,еті өте аз,келмендеррррррр не стоит",mixed,negative,llm_composer,,,
"Сонгы кезде донер ишинде ети аз, только фри.",mixed,negative,llm_composer,,,
"Заказы тез дайн болды бирак свежий емес .
Сушиды ашп калганда ашыган иыс шгп тур ",mixed,negative,llm_composer,,,
Ассалау мағалейкум! Был на консультации. Все очень грамотно и четко объяснили. Сервис крутой!!!,mixed,positive,llm_composer,,,
5 с +  обслуживание на высшем уровне . Ішіндегі қыздар да ұлдарда керемет жаркыраган тамактары да ценаларыда соответствует  өзіме ұнады,mixed,positive,llm_composer,,,
"Обслуживание ладно ышындегы Братишка официант нормально жыгыт, вот заведение 1 жулдызгада болмайт. Шашлыктар сухой ашшы, плов жок именно сол ушын келгенбыз ожидание совсем дакуя  сондада тамак жеп кеттык енды! Рахмет осы шаруаларды шешерсыздер!",mixed,negative,llm_composer,,,
"Обслуживание 0, шайлары кран суымен береди, еще адамдар отырганда сыпырып жур ишин, баруга турмайтын жер",mixed,negative,llm_composer,,,
20:00 де жабылады деп не үшін жазасыздар 15минут бұрын жабылатын болса? Сразу жазып қойсаңыздаршы уақытымызды алып алыс жерден келіп тұрсақ,mixed,negative,llm_composer,,,
"Балалар поликлиникасында 230 кабинетте Сапаровадан басқа адам жұмыс жасамайды-ау шамасы. Алдында постоянно очередь. Үлкенді де, кішіні де қарайды. Ауырып тұрғн баламен келсең, кіргізбей айқай шығарады. Сапарова дәрігердің нагрузкасын азайтуын сұраймыз.",mixed,negative,llm_composer,,,
"Өте күшті жер,ұнады.Тамақтары,танцполы,атмосферасы күшті.Сельдар ағаның музыкалары прям качает,админ Айсұлу вообще соска сөз жоқ.Барменша да вообще топ,лимонады ұнады.Всем советую,бара бергің келеді",mixed,positive,llm_composer,,,
Бәрі унады жаксы жер екен Ануар деген офф  бәрін на высшем уровнежасады,mixed,positive,llm_composer,,,
Отравление болп калдм кеше донер алп едым говяжий дамы унамап еды турп калган ет абайланыздар ,mixed,negative,llm_composer,,,
Сервис оте нашар уакытында жеткизбейди суып калган тамактары,mixed,negative,llm_composer,,,
"посидели за 75000 с семьей(нас четверо),вроде нормально но слишком казахский кухня,думаю менюга напиток косу керек",mixed,positive,llm_composer,,,
"Багалары завышены 
тамактары басында ашылганда жаксы еды 
казыр так себе",mixed,negative,llm_composer,,,
"Офицанты очень хорошие,но чикен тым майлы жи алмадык",mixed,negative,llm_composer,,,
Оте жаксы мастер мадияр тура ойдагыдай алып берет шашты мойындадым тамаша,mixed,positive,llm_composer,,,
"Шахриёр отличный мастер, всем советую",mixed,positive,llm_composer,,,
оте томен ешкимге не советую топ мастер деген мастерлер ужассный жасайды элементарный заттарлы истей алмай важный кунде сенуге келмейды,mixed,negative,llm_composer,,,
7500тг жуган болатын.Бұлай мен 1000тг жуып аламгой полный салон кузов багаж полировкамен деген осылай болама сонда.Ваще келмейак койыңдар.Шыккасын дұрыс болмапты деп кайта сүрткіздім салонды кайтып келсем тоже толык тазаламаган,mixed,negative,llm_composer,,,
"Зооор зал, ресепшенда отыратын Балнур деген кыз оте сыпайы оте жаксы кыз екен, залдын атмосферасы топ",mixed,positive,llm_composer,,,
"Иши толган шандыр  , фри коп, не вкусно",mixed,negative,llm_composer,,,
"Админстратор дурыс жумыс жасамайды,офиктер шакырса келмиды унамады тамактын тузы жок, не толька тамактары персонал вообще ужассно",mixed,negative,llm_composer,,,
Өте дәмді пиццалар заказымды тез дайндап берді Советую деп коямше,mixed,positive,llm_composer,,,
"Зал классный, чистый и просторный. самый большой в городе менеджер Шугыла самая лучшая, делится сладостями ",mixed,positive,llm_composer,,,
"Акт жазатын тарапевт номер беріндерші . Қашан дайын болады ол өзі , қашан қарасаң обучение дит. Недеген бітпейтін обучение ол .Қашан дайын болады акт жауап беретін адамдар бар ма ?",mixed,negative,llm_composer,,,
Ең кушти плов Каримада пловтары уау соз жок сервис жаксы тазалык жагы тоже вробоо,mixed,positive,llm_composer,,,
"Мастер Гульназ 
Ламинирование ресниц+бровей жасаттым.Әдемі,ұзақ тұрады.Бағалары да қолжетімді.Ризамын",mixed,positive,llm_composer,,,
Щашлыктары оте нашар. Килен суйек акелгендери баранина заказ берсек. Обслуживание нашар.,mixed,negative,llm_composer,,,
