text,language,label,text_norm
"Ластик стирает отменно. Были сомнения по качеству из-за цены, однако они не подтвердились. Ластик не крошится и удобен в применении.",ru,,"ластик стирает отменно. были сомнения по качеству из-за цены, однако они не подтвердились. ластик не крошится и удобен в применении."
ЭКОНОМ СТРОЙ спасибо большое. Ластик очень хорошего качества. Рекомендую. Покупкой довольна.,ru,,эконом строй спасибо большое. ластик очень хорошего качества. рекомендую. покупкой довольна.
"Очень классно стирает, пришёл вовремя, даже раньше, спасибо магазину и Каспи.",ru,,"очень классно стирает, пришёл вовремя, даже раньше, спасибо магазину и каспи."
"Әдемі өшіргіш, сапасы ұнады, уақытында келді.",kz,,"әдемі өшіргіш, сапасы ұнады, уақытында келді."
"Супер ластик, спасибо за доставку.",ru,,"супер ластик, спасибо за доставку."
"Сторка отличная. Хорошо стирает. Спасибо большое, выручили!",ru,,"сторка отличная. хорошо стирает. спасибо большое, выручили!"
"Купили дочке по рекомендации знакомых, быстро доставили, довольны покупкой.",ru,,"купили дочке по рекомендации знакомых, быстро доставили, довольны покупкой."
"Стерка из детства. Не сильно жёсткая, синяя сторона блестит. Дешёвая, не воняет, со своей задачей справляется. Упаковали тоже хорошо, такую маленькую в большой пакет положили. Спасибо большое магазину Patriot-kz, быстрой доставке и китайцам-производителям.",ru,,"стерка из детства. не сильно жёсткая, синяя сторона блестит. дешёвая, не воняет, со своей задачей справляется. упаковали тоже хорошо, такую маленькую в большой пакет положили. спасибо большое магазину patriot-kz, быстрой доставке и китайцам-производителям."
"Хорошие ластики, беру не первый раз. Спасибо Каспи!",ru,,"хорошие ластики, беру не первый раз. спасибо каспи!"
"Очень качественный ластик, спасибо магазину PATRIOT-KZ.",ru,,"очень качественный ластик, спасибо магазину patriot-kz."
"Хороший ластик, стирает отлично! Цена.",ru,,"хороший ластик, стирает отлично! цена."
Сапасы өте керемет. Рахмет. Керемет болып келді.,kz,,сапасы өте керемет. рахмет. керемет болып келді.
Күшті сапасы жоғары екен. Алыңыздар.,kz,,күшті сапасы жоғары екен. алыңыздар.
10тенгеге көп алар едім в наличии болмай калды керемет оширгиш багасы оте арзан советую.,kz,,10тенгеге көп алар едім в наличии болмай калды керемет оширгиш багасы оте арзан советую.
"Отличный ластик, цена -сказка! Синяя часть хорошо стирает цветные карандаши.",ru,,"отличный ластик, цена -сказка! синяя часть хорошо стирает цветные карандаши."
"Стерка топ, стирает даже ручку без проблем.",ru,,"стерка топ, стирает даже ручку без проблем."
"Жақсы өшіреді. Өз уақытында келді, маған ұнады.",kz,,"жақсы өшіреді. өз уақытында келді, маған ұнады."
"Ластик очень удобный, взял для рисования, заказываю не первый раз.",ru,,"ластик очень удобный, взял для рисования, заказываю не первый раз."
"Ластик очень хороший, стирает нормально, советую покупать.",ru,,"ластик очень хороший, стирает нормально, советую покупать."
"Качественный, хорошо упакованный ластик. Спасибо большое Каспи за быструю доставку и Almaty tools буду заказывать ещё.",ru,,"качественный, хорошо упакованный ластик. спасибо большое каспи за быструю доставку и almaty tools буду заказывать ещё."
"Отличный ластик, прикольно за такую цену.",ru,,"отличный ластик, прикольно за такую цену."
Отличный ластик за свою цену.,ru,,отличный ластик за свою цену.
Товар көңілімнен шықты жақсы өшіреді.,kz,,товар көңілімнен шықты жақсы өшіреді.
"Өшіргіштің бағасы өте тиімді, сапасы ойымдағыдай келді, тез арада жеткізіп берді, көп рахмет.",kz,,"өшіргіштің бағасы өте тиімді, сапасы ойымдағыдай келді, тез арада жеткізіп берді, көп рахмет."
"Ластик Maped хорошего качества, цена очень приятная.",ru,,"ластик maped хорошего качества, цена очень приятная."
"Ластик очень понравился, хорошо и аккуратно стирает.",ru,,"ластик очень понравился, хорошо и аккуратно стирает."
Стер все свои ошибки молодости.,ru,,стер все свои ошибки молодости.
"Жақсы екен, алуға кеңес беремін.",kz,,"жақсы екен, алуға кеңес беремін."
"Ластик мягкий, упругий. Со своей функцией справляется!",ru,,"ластик мягкий, упругий. со своей функцией справляется!"
Өте керемет за такую цену.,mixed,,өте керемет за такую цену.
"Благодарю, заказываю неоднократно. Спасибо Каспи и продавцу.",ru,,"благодарю, заказываю неоднократно. спасибо каспи и продавцу."
Очень хороший ластик. Очень хороший ластик.,ru,,очень хороший ластик. очень хороший ластик.
"Өте жақсы өшіргіштер. Өз қалдырмайды, қағазды бүлдірмейді. Сапасы.",kz,,"өте жақсы өшіргіштер. өз қалдырмайды, қағазды бүлдірмейді. сапасы."
Сапасы өте жоғары. Қыздарым сурет салғанда қолданып жүр. Рахмет сатушы иесіне.,kz,,сапасы өте жоғары. қыздарым сурет салғанда қолданып жүр. рахмет сатушы иесіне.
"Хороший ластик, на Каспи  дешевле, спасибо продавцу положил еще один в подарок! Доставка пришла вовремя.",ru,,"хороший ластик, на каспи дешевле, спасибо продавцу положил еще один в подарок! доставка пришла вовремя."
"Керемет өшіргіш, бағасы да арзан. Магазиндерде 40-50 тг тұрады жоқ дегенде.",kz,,"керемет өшіргіш, бағасы да арзан. магазиндерде 40-50 тг тұрады жоқ дегенде."
Өте күшті кетіргіш. Рахмет магазинге. Каспи магазинге.,kz,,өте күшті кетіргіш. рахмет магазинге. каспи магазинге.
Осы фирманың өшіргіштері керемет нешінші жыл алып жүрмін.,kz,,осы фирманың өшіргіштері керемет нешінші жыл алып жүрмін.
Хороший ластик за свою стоимость.,ru,,хороший ластик за свою стоимость.
"Обычные неплохие ластики. Тут цена копеечная, беру много.",ru,,"обычные неплохие ластики. тут цена копеечная, беру много."
Рақмет көп 10 тенгенің заты болсада.,kz,,рақмет көп 10 тенгенің заты болсада.
"Өте керемет, ұнады маған, курьер балаға рахмет, жу<unk> і жылы өте керемет, күшті бәрі.",kz,,"өте керемет, ұнады маған, курьер балаға рахмет, жу unk і жылы өте керемет, күшті бәрі."
Ластик керемет сапада. Каспи жеткізу қызметі жоғары дәрежеде. Aлматы TOO<unk> S дүкеніне көп рақмет. Өз істеріне үлкен жауапкершілікпен қарайды.,mixed,,ластик керемет сапада. каспи жеткізу қызметі жоғары дәрежеде. aлматы too unk s дүкеніне көп рақмет. өз істеріне үлкен жауапкершілікпен қарайды.
"Бұл дүкеннен алмаңыздар, ұзақ уақыт күттіңіздер, телефон алмайды.",kz,,"бұл дүкеннен алмаңыздар, ұзақ уақыт күттіңіздер, телефон алмайды."
"Купил 15 про Макс полное разочарование. Остался на своем 14 про. Отдал жене, пусть она мучается.",ru,,"купил 15 про макс полное разочарование. остался на своем 14 про. отдал жене, пусть она мучается."
"Либо они пихнули мне уже юзанный телефон, либо телефон очень плохого качества.",ru,,"либо они пихнули мне уже юзанный телефон, либо телефон очень плохого качества."
"Купила 15 про Макс в этом магазине. Телефон глючит сам по себе, держала всего лишь 1 месяц. Не стоит своих денег, 1. экран глючит. 2. фейс айди плохо работает! Можно сказать вообще толком то не работает. Мой 11 и то был намного лучше чем этот 15. Очень разочарована!",ru,,"купила 15 про макс в этом магазине. телефон глючит сам по себе, держала всего лишь 1 месяц. не стоит своих денег, 1. экран глючит. 2. фейс айди плохо работает! можно сказать вообще толком то не работает. мой 11 и то был намного лучше чем этот 15. очень разочарована!"
Фонарик работает! Брал ради фонарика.,ru,,фонарик работает! брал ради фонарика.
"Сапасыз, Қытайдан келген екен, еще есим.",kz,,"сапасыз, қытайдан келген екен, еще есим."
"Сим карта салатын орны жоқ, түсінбейміз.",kz,,"сим карта салатын орны жоқ, түсінбейміз."
Без симкарты деп жазып қоймайсыздарма.,mixed,,без симкарты деп жазып қоймайсыздарма.
Кішкене жұмыс жасаса қызып кетеді. Сапасы өте төмен.,kz,,кішкене жұмыс жасаса қызып кетеді. сапасы өте төмен.
Көңілім толмай тұр китайский сияқты.,kz,,көңілім толмай тұр китайский сияқты.
"Алуға кеңес бермеймін, зряды тез отырып қалады.",kz,,"алуға кеңес бермеймін, зряды тез отырып қалады."
"15 күнде зорғаа келді, бірақ телефон жақсы.",kz,,"15 күнде зорғаа келді, бірақ телефон жақсы."
3 күн кешіктірді. Жауапкершілігі жоқ.,kz,,3 күн кешіктірді. жауапкершілігі жоқ.
"Зарядкасы шыдамайды, айфон қызып кетеді, кішкене шұқыласаң.",kz,,"зарядкасы шыдамайды, айфон қызып кетеді, кішкене шұқыласаң."
"Это моя самая лучшая покупка за последнее время, вчера была на концерте Akon, я стояла далеко, но мой 15 про мах снял так что я могла посчитать сколько волос у Akona ЗУМ любовь с первого взгляда.",ru,,"это моя самая лучшая покупка за последнее время, вчера была на концерте akon, я стояла далеко, но мой 15 про мах снял так что я могла посчитать сколько волос у akona зум любовь с первого взгляда."
"Спасибо магазину OnMarket, оперативно доставили, хороший курьер и магазин выходит на связь 10/10, посмотрим как будет работать.",ru,,"спасибо магазину onmarket, оперативно доставили, хороший курьер и магазин выходит на связь 10 10, посмотрим как будет работать."
"Сириустан алдым, Каспи есептелген уақыттан бұрын жеткізді, жаңа телефон, ешқандай ашылған ремонтталған емес, таза оригинал.",kz,,"сириустан алдым, каспи есептелген уақыттан бұрын жеткізді, жаңа телефон, ешқандай ашылған ремонтталған емес, таза оригинал."
Сапасы өте нашар 15про макстың көшірмесі алғаныма өкініп қалдым камерасы онша емес бұлдырлатып түсіреді.,kz,,сапасы өте нашар 15про макстың көшірмесі алғаныма өкініп қалдым камерасы онша емес бұлдырлатып түсіреді.
"Қатты қызады, тел хабарлассам алмайды.",kz,,"қатты қызады, тел хабарлассам алмайды."
"Купила айфон, до этого был ХР и очень разочарована камерой передней. Слишком много цветокоррекции и обработки, которая делается автоматически и не убирается с настроек. Очень обидно покупать телефон за ~650к, чтобы потом делать селфи через инсту.",ru,,"купила айфон, до этого был хр и очень разочарована камерой передней. слишком много цветокоррекции и обработки, которая делается автоматически и не убирается с настроек. очень обидно покупать телефон за 650к, чтобы потом делать селфи через инсту."
Мобитайм магазинные алдым. Жақсы істеп тұр. Камера күшті және зарядка ұзаққа жетеді.,kz,,мобитайм магазинные алдым. жақсы істеп тұр. камера күшті және зарядка ұзаққа жетеді.
Барахлит и зависает и очень сильно греется.,ru,,барахлит и зависает и очень сильно греется.
"Телефон глушит иногда, на некоторые буквы с трудом нажимается, не реагирует.",ru,,"телефон глушит иногда, на некоторые буквы с трудом нажимается, не реагирует."
"Свет не красивый, намазы вообще.",ru,,"свет не красивый, намазы вообще."
"Дочка в восторге. Папа в шоке. А у меня рассрочка. Телефон даже на внешний вид смотрится на 100 баллов. Всё целое, без изъянов. Брала по отзывам о продавце APPLE MART. Спасибо вам!",ru,,"дочка в восторге. папа в шоке. а у меня рассрочка. телефон даже на внешний вид смотрится на 100 баллов. всё целое, без изъянов. брала по отзывам о продавце apple mart. спасибо вам!"
"Батарейка садится очень очень быстро, всё время нужно заряжать. Пользуюсь 4 день. Не советую. Магазину спасибо!",ru,,"батарейка садится очень очень быстро, всё время нужно заряжать. пользуюсь 4 день. не советую. магазину спасибо!"
"Айфонымды алдым, бәрі күшті, мен ойлагандай! Көңілден шықты, айтқан уақытынан да бұрын жеткізіліп берілді. Көп рақмет!",kz,,"айфонымды алдым, бәрі күшті, мен ойлагандай! көңілден шықты, айтқан уақытынан да бұрын жеткізіліп берілді. көп рақмет!"
Обслуживание на высоте. Очень ответственная и качественная доставка.,ru,,обслуживание на высоте. очень ответственная и качественная доставка.
"Зарядкасы жарты сағатқа да жетпейді. Фотоға анық түсірмейді, самсунг телефоным күшті түсіреді бұдан. Ұнамады. Грамм емес сияқты, американский деп ұрып жіберді.",kz,,"зарядкасы жарты сағатқа да жетпейді. фотоға анық түсірмейді, самсунг телефоным күшті түсіреді бұдан. ұнамады. грамм емес сияқты, американский деп ұрып жіберді."
Өте нашар камерасы анық тусмейді.,kz,,өте нашар камерасы анық тусмейді.
"Дауысы өзімен өзі қатты шығып кете береді, азайтсаң автоматический қатты шығып кетеді.",mixed,,"дауысы өзімен өзі қатты шығып кете береді, азайтсаң автоматический қатты шығып кетеді."
Жена восторге. Кора кутты болсын.,mixed,,жена восторге. кора кутты болсын.
"Всех казахстанцев с новым годом Каспи особое поздравление. Телефон в идеале. Подарил супруге. Всё супер, курьер уважение. Всем спасибо и удачи.",ru,,"всех казахстанцев с новым годом каспи особое поздравление. телефон в идеале. подарил супруге. всё супер, курьер уважение. всем спасибо и удачи."
Қатып қала береді жәй қимылдап жатыр.,kz,,қатып қала береді жәй қимылдап жатыр.
"Получила телефон айфон 15 про макс 256. Оригинал. Качество и доставка отличная. Телефон UAE, имей код все соответствует. Работает отлично. Вес, детали все в идеале. Проконсультировали отлично. Довольна покупкой. Рекомендую магазин XAN_Comp.",ru,,"получила телефон айфон 15 про макс 256. оригинал. качество и доставка отличная. телефон uae, имей код все соответствует. работает отлично. вес, детали все в идеале. проконсультировали отлично. довольна покупкой. рекомендую магазин xan_comp."
"Очень рада за выбор именно этого магазина, все отлично сразу же проверила на оригинальность, пользуюсь с удовольствием. Телефон не нагревается, пришло даже раньше срока.",ru,,"очень рада за выбор именно этого магазина, все отлично сразу же проверила на оригинальность, пользуюсь с удовольствием. телефон не нагревается, пришло даже раньше срока."
Превосходный девайс! Давно мечтала купить себе именно айфон. Единственный минус - отсутствует адаптер зарядного устройства. Доставка на день раньше. Спасибо Каспи за такой подарок!,ru,,превосходный девайс! давно мечтала купить себе именно айфон. единственный минус - отсутствует адаптер зарядного устройства. доставка на день раньше. спасибо каспи за такой подарок!
"Все отлично. Самый красивый цвет на рынке. Сестрёнка довольна. Главное уточняйте сим карту. Мне позвонили и сказали что 2 е сим. Мне это не принципиально, так что всё нравится. И берите уже 256 минимум. Спасибо.",ru,,"все отлично. самый красивый цвет на рынке. сестрёнка довольна. главное уточняйте сим карту. мне позвонили и сказали что 2 е сим. мне это не принципиально, так что всё нравится. и берите уже 256 минимум. спасибо."
"Телефон греется при зарядке, а так пока пойдет, теперб понял что надо покупать в официальных магазинах.",ru,,"телефон греется при зарядке, а так пока пойдет, теперб понял что надо покупать в официальных магазинах."
Первый мой айфон. Андройдтан кейін енді үйреніп жатырмын.,mixed,,первый мой айфон. андройдтан кейін енді үйреніп жатырмын.
"Маған айфонның есим екенін ескерткен жоқ, мен сим карта бар деп ойладым. Ал телефонның өзі әдемі.",kz,,"маған айфонның есим екенін ескерткен жоқ, мен сим карта бар деп ойладым. ал телефонның өзі әдемі."
"Оригинал, сборка Канада-Япония, пришел на 2 дня раньше, упакован аккуратно, жена восторге! Магазин Мобила1.",ru,,"оригинал, сборка канада-япония, пришел на 2 дня раньше, упакован аккуратно, жена восторге! магазин мобила1."
Айфонды бірінші рет алып отырмын. Үйреніп жатырмын. Маған бәрі ұнап тұр. Тапсырыс берген күні алып келді. Рахмет!.,kz,,айфонды бірінші рет алып отырмын. үйреніп жатырмын. маған бәрі ұнап тұр. тапсырыс берген күні алып келді. рахмет!.
Өте керемет көрсетілген күннен ерте келді қызмет сапасы өте жақсы.,kz,,өте керемет көрсетілген күннен ерте келді қызмет сапасы өте жақсы.
"Телефон доставили достаточно быстро, очень понравилось. С 12 про сразу перешла на 15 про макс. Разница огромная. Всем советую.",ru,,"телефон доставили достаточно быстро, очень понравилось. с 12 про сразу перешла на 15 про макс. разница огромная. всем советую."
"Магазин супер!!! Ответили через минуту после того как одобрили рассрочку!!! Доставили в межгород за два дня,это очень быстрая доставка!!! Что сказать по телефону,айфон есть айфон,мощный,камеры просто бомба!!! В руке сидит как родной,он меньше чем 14 про Макс и легче на 20 грамм. Покупкой доволен как слон,третий день кайфую!!! Спасибо,магазин рекомендую!!!",ru,,"магазин супер! ответили через минуту после того как одобрили рассрочку! доставили в межгород за два дня,это очень быстрая доставка! что сказать по телефону,айфон есть айфон,мощный,камеры просто бомба! в руке сидит как родной,он меньше чем 14 про макс и легче на 20 грамм. покупкой доволен как слон,третий день кайфую! спасибо,магазин рекомендую!"
"Өзім келіп алып кеттім, ұнады осы жерден алсаңыздар болады. .",kz,,"өзім келіп алып кеттім, ұнады осы жерден алсаңыздар болады. ."
"Приобрел телефон, все хорошо, выдали очень быстро и в срок, хоть уже магазин был закрыт, так как мне надо было уезжать, телефоном пользуюсь уже несколько дней, получаю удовольствие.",ru,,"приобрел телефон, все хорошо, выдали очень быстро и в срок, хоть уже магазин был закрыт, так как мне надо было уезжать, телефоном пользуюсь уже несколько дней, получаю удовольствие."
"Телефон маған ұнамады, себебі өзіме алмадым, сыйлыққа алдым, көңілімнен шықты.",kz,,"телефон маған ұнамады, себебі өзіме алмадым, сыйлыққа алдым, көңілімнен шықты."
Купил жене. Радуется. Отличный смартфон.,ru,,купил жене. радуется. отличный смартфон.
Заказым тез келді інімнің тулған күніне сыйладым ініме қатты ұнады.,kz,,заказым тез келді інімнің тулған күніне сыйладым ініме қатты ұнады.
"Енді алдым, түсінбей жатырмын, жақсы былай.",kz,,"енді алдым, түсінбей жатырмын, жақсы былай."
"Спасибо Каспи, быстро доставили. Айфон купила дочке, она очень рада, всё в отличном состояний. Спасибо консультантам.",ru,,"спасибо каспи, быстро доставили. айфон купила дочке, она очень рада, всё в отличном состояний. спасибо консультантам."
"Доставка была раньше срока, спасибо продавцу, курьер очень торопился, не дал время вскрыть товар, торопил и спрашивал давай код, это не серьезно. Я ранее звонил продавцу, он не брал трубку.",ru,,"доставка была раньше срока, спасибо продавцу, курьер очень торопился, не дал время вскрыть товар, торопил и спрашивал давай код, это не серьезно. я ранее звонил продавцу, он не брал трубку."
"Качество топ, зарядка держится до двух суток.",ru,,"качество топ, зарядка держится до двух суток."
Быстрая доставка. Приятная цена. Обязательно обращусь снова.,ru,,быстрая доставка. приятная цена. обязательно обращусь снова.
"Купил у них 15 Pro Max, покупкой полностью доволен, спасибо магазину Great Choice за оперативность и доброе отношение к клиентам, буду всегда к вам обращаться.",ru,,"купил у них 15 pro max, покупкой полностью доволен, спасибо магазину great choice за оперативность и доброе отношение к клиентам, буду всегда к вам обращаться."
"Звоноктың өзіне беті қатып қалады, оның несі айфон?! Байқамаса алдап жібереді.",kz,,"звоноктың өзіне беті қатып қалады, оның несі айфон?! байқамаса алдап жібереді."
"Работает отлично! Брала сыну, очень доволен. Рекомендую.",ru,,"работает отлично! брала сыну, очень доволен. рекомендую."
Отличный телефон! Супруга довольна! Камера огонь!,ru,,отличный телефон! супруга довольна! камера огонь!
Хороший. Все как я думала. Камера просто мощь.,ru,,хороший. все как я думала. камера просто мощь.
Брал в apples. kz. Привезли в тот же день. Жена в восторге. А я за андроиды.,ru,,брал в apples. kz. привезли в тот же день. жена в восторге. а я за андроиды.
"Доставили в срок, то что нужно. Цвет, память sim+esim все соответствует. Телефон оригинальный, пломбы на месте не активированный как и должно быть. Были вопросы, звонил в магазин трубки берут, ответили ответили на все мои вопросы. Рекомендую.",ru,,"доставили в срок, то что нужно. цвет, память sim esim все соответствует. телефон оригинальный, пломбы на месте не активированный как и должно быть. были вопросы, звонил в магазин трубки берут, ответили ответили на все мои вопросы. рекомендую."
Керемет сападағы телефон. Маған қатты ұнады. Уақытымен алып келді. Рахмет сіздерге.,kz,,керемет сападағы телефон. маған қатты ұнады. уақытымен алып келді. рахмет сіздерге.
"Телефон отличный, батарея держит хорошо, 2 суток игры летают, ну в общем на десятку с плюсом.",ru,,"телефон отличный, батарея держит хорошо, 2 суток игры летают, ну в общем на десятку с плюсом."
