,text,language,label
5041,"Күшті советую, Айым Колекшннан алыңыздар, если че.",mixed,
5043,"Керемет сапада, прям ұнады. Созылып қалған бір нәрсе келеді шығар, бұндай бағаға деп ойлап ем) жоқ, керісінше мощный екен.",mixed,
5070,"Жақсы, дәл келді, ским футболка.",mixed,
5095,Размер кішкентай болды и качество онша емес.,mixed,
5101,"Ұнады ойымдағыдай, мундай баға күшті енді, еще размерінде дұрыс тандаппын, Каспи магазин жақсы болды, казир тик токтан басқалардын Каспи находкаларын не алганын корип озиме сактап заказ берип жатырмын.",mixed,
5111,"Мынандай бағаға 4 штук вообще бомба, киеуім 50 размер бірақ 4 хл тура келді рахмет ип Q-SHOP.",mixed,
5130,Размері дәл болды. Матасы өте жақсы. Продавец: Fermer1K.,mixed,
5173,"Кішкентай ғана, собой алып жүргенге өте удобный. Без запаха. 4 түрлі түсте. 1 пачкада 8 штук шығады.",mixed,
5225,"Күшті, ыңғайлы, сумкаға салып жүруге, качество норм.",mixed,
5226,"Топ, өте ыңғайлы сумкаға салып жүргенге, матасы да қалың, еще арзан, көп-көп рахмет осы затты шығарған адамға!",mixed,
5234,"Осы салфетка всегда аламын, миниатюрный керемет.",mixed,
5297,"Жоғары деңгейде келді, упаковкасыда жақсы, еще сондай сүйкімді влажныйлар рахмет көп. Подарка салуды да ұмытпапты.",mixed,
5314,"Кішкентай болса да, қалың салфетка.",mixed,
5333,Өздері сүйкімдігой. Сумкага салып жүргенге ыңғайлы кішкентай. Маған ұнады. Продавец: IP рахмет сізге.,mixed,
5337,"Постоянно заказываю эти салфетки, отличные. Магазин ИП АЛИЕВА и Каспи  за доставку рахмет.",mixed,
5350,"Мына салфеткалар прям күшті, такой мимишный, еще без запаха, сумкаға салып жүруге өте ыңғайлы.",mixed,
5352,Өздері сүйкімді ақ. Алып жүргенге ыңғайлы. Продавец: _WECOME_ рахмет.,mixed,
5354,"Всем советую. Өте сүйкімді, ыңғайлы, иісі жоқ, суперский.",mixed,
5372,Күшті болып келдіЕще витамины салып жіберіпті как приятно.,mixed,
5374,Күшті ещё подарка салып жіберіпті.,mixed,
5396,"Өте компактный салфеткалар, қатты ұнайды, қалтаға салып жүруге, срок тоже жақсы екен. Қосымша тағы 1салфетка сыйлыққа салды, рахмет!",mixed,
5402,"Өте удобный, еще в подарок салфетка салыпты.",mixed,
5416,"Көп екен, пачкасында еще тағы 1еун подаркаға салыпты, советую.",mixed,
5424,"Прям күшті, 2-3 рет алып жатырмын, ыңғайлы, қалың.",mixed,
5434,Күшті салфетки. Еще қасына тағы біреуін қосып жіберіпті. Көп рахмет.,mixed,
5448,"Уақытынан ерте келді, еще подаркаға тағы бір влажные салфетки қосып берген.",mixed,
5456,Күшті всегда осындай аламын ыңғайлы.,mixed,
5479,"Күшті екен, сразу 4 пачка алдым.",mixed,
5488,"Очень хороший еще и дешевле, еще подарок салып жіберіпті, классно.",mixed,
5489,Подаркага влажная сафетка берды рахмеет коп коп.,mixed,
5503,"Уақытынан ерте келді, спасибо за подарок было приятно.",mixed,
5523,"Өте күшті, постоянно алам сумкаға күшті салып қойғанға.",mixed,
5546,"Очень хороший, стоит это покупать. Содан соң подарка үшін де рахмет, дәл уақытында келді, смело заказ беріңіздер.",mixed,
5561,"Салфетка керемет, өте ыңғайлы, сыйлық үшін рақмет!.",mixed,
5601,"Күшті, 5-6 рет заказ бердім, өте удобно, советую.",mixed,
5608,"Тиын тұрады өзі, еще подарок салып жіберіпті. Всегда аламын, удобно.",mixed,
5611,"Детские салфетки ыңғайлы, ұнады доставкасы уақытысымен келеді. PRO MASTER -ге үлкен рахмет!.",mixed,
5618,"Өз бағасына стоит, удобно брать с собой и красиво ",mixed,
5648,Кушти исы жок. Прям удобно.,mixed,
5670,"Керемет, маған ұнады, тиімді баға, еще подарка салып жіберген.",mixed,
5700,"Маған ұнады, ішіне бір салфетка салған сумкаға салып жүруге өте ыңғайлы екен, рахмет көп көп, советую всем.",mixed,
5708,"Барлық сумкаларымның ішінде тұрады, компактный, иізсіз бәрі жақсы.",mixed,
5733,"Осы салфетка ұнайды сумкаға, қалтаға өте ыңғайлы. Маған қасына подарок салыпты, очень приятно рахмееет!",mixed,
5767,"Салфетка жақсы, Аллах разы болсын!.",mixed,
5771,"Күшті, всегда осыдан берем, қасына  влажный салып жібереді.",mixed,
5773,"өте жақсы салфеткалар, спасибо за подарок",mixed,
5777,"Күшті екен влажный салфетка. Маған ұнады. Супер салфетка. Алуға кеңес беремін. Бұйырса тағы заказ саламын. Қалтаға салып жүруге жақсы екен. Студент балама алдым. 100 бонус берді маған, Каспиге рахмет.",mixed,
5782,"Вот это находка. Өзі копейкаа тұрсада, қатты күшті, әрдайым с собой ғой. Басқа влажныйларға қарағанда әлдеқайда күшті.",mixed,
5793,"Керемет, удобный, сумкаға, карманға салып жүре беруге болады.",mixed,
5797,"Күшті болып келді, еще подарка салып жіберді және тез жеткізілді.",mixed,
5844,"64шт штука за такие деньги?Просто космос! Мини формат, но максимум удобство Қалтаға да, сумкаға да сыйып кетеді. Қолданғанда сапасы бірден білінеді. Реально мощь теперь беру только ACONA еще подарок положили.",mixed,
5846,"Өте жақсы, қасына қосымша тағы 1 салфетка подарка еще.",mixed,
5855,"Күшті, екінші раз алуым. Қызыма сабакка ұстауға прикольный дид.",mixed,
5865,Өте күшті. 1 салфетка в подарок.,mixed,
5948,"Өте қатты ұнайды осы салфеткалар, бағалары да керемет. Всегда Каспиден заказ беремін!.",mixed,
5961,"Сыйлықтарыңызға көп рахмет, өте қатты ұнады, влажный салфетка сапасы өте.",mixed,
5965,"Өте керемет, тағы заказ беремін. Арзан екен бағасы, сама в бирак жақсы.",mixed,
5977,"просто находка ғой мынадай бағаға! Иісі жоқ, керемет сумкаға салып жүруге ыңғайлы.",mixed,
5985,"Өте керемет болып келді, маған ұнады, советую всем.",mixed,
6005,Тема ито қасына тағы 1 шт қосып жіберген.,mixed,
6009,"Всегда аламын осы салфеткаларды, өте ыңғайлы. Е<unk> е и без аромата. Подарокқа тағы біреуін салыпты, магазинға рақмет.",mixed,
6022,Влажка темааа е<unk> е подпркага тагы біреуін қосып жіберген.,mixed,
6026,"Компактный, барлық жерге сыйып кетеді.",mixed,
6052,"Тез, әрі жылдам жеткізу , салфетка керемет , үнемі осыған заказ беремін
Спасибо за подарок",mixed,
6062,прям унады ішінде 8штук бағасына стоит и +подарок,mixed,
6067,Очень удобно өзіңмен алып жүруге.,mixed,
6095,Күшті боп келді еще в подарок салфетка салып жиберіпті так приятно спасибо.,mixed,
6120,"Күшті ыңғайлы сумкаға салғанға, еще подарок жанына біреу сап жіберіпті.",mixed,
6123,"Маған ұнады, еще сыйлаққа тағы салфетка салып көп рақмет! Және оқып отырсам өзіміздің Қазақстандық өнім екен көз қуантады.",mixed,
6142,"ToToshKin магазинынен алдым. Влажный салфетка кушти, оригинал и качественный. Мини сабын ыңғайлы екен, жолға шыққанда асыресе.",mixed,
6150,"Рахмет тез келди, сыйлык та салып жиберди ишине,очень приятно ",mixed,
6155,"Ішінде көп, әрі арзан екен, качество супер.",mixed,
6162,"Өте күшті салфеткалар, очень удобные.",mixed,
6164,Рақмет! Күнделікті сөмкеге салып жүргенге ыңғайлы. Продавец: ALMATY TOOLS-қа рақмет қасына сыйлыққа 1 тағы салфетка салып жіберіпті.,mixed,
6183,Вроде жақсы кішігірім екен алып жүруге бірақ тез бітіп қалады и без запаха.,mixed,
6197,Маған басқа салфетка салып жіберіпті. Вообще качествосы жақсы емес.,mixed,
6203,"Тема, кушти, удобно, классно, каеф.",mixed,
6206,"Влажные салфетки прям күшті, бағасыда арзан, еще қасында сыйлығы бар, рахмет ИП.",mixed,
6217,Как всегда керемет болып келеді рахмет.,mixed,
6223,Сапасы жақсы и алып жүргенгеде удобная.,mixed,
6251,Рахмет Сумочкаға салып жүргенге жақсы екен. Каспиге рахмет. Продавец: Technomania рахмет.,mixed,
6257,"Өте керемет, жанында подаркасы бар еще, иісі жоқ, жұқа емес, өте күшті ұнады.",mixed,
6261,Күшті влажный салфеткалар. Иісі жоқ. Дымқылдығы жақсы. Бірнеше рет алдым. Әрбір қалтаға салып жүруге ыңғайлы.,mixed,
6262,"Бәрі ұнады, советую магазин, цена вооб<unk>е күшті, сыйлыө үшін рақмет.",mixed,
6302,"Ұнады, топчик подаркасымен вооб<unk>е круто, очень приятно.",mixed,
6305,"Тамаша, маған ұнады. Салфетки просто супер, я в восторге.",mixed,
6345,"Керемет ыңғайлы салфетка, бағасы өте арзан, сапасы тамаша, өте мол салфетка.",mixed,
6349,"Вообще күшті! Мен ойлағанымнан да еще компактный. Әрі сыйлыққа тағы біреуін салып жіберіпті  өте жағымды, рахмет үлкен. Тағы да тапсырыс беремін, міндетті түрде. Бәріңізге кеңес беремін!",mixed,
6358,Уақытында келді тапсырысым. Всегда осындай алып тұрамын салфетка өте жақсы ынғайлы сапасы керемет Сыйлыққа рахмет. Алуға кеңес беремін.,mixed,
6364,Күшті влажный екен сумкаға салып журуге унады. Еще подарокка 1 еуын қосып жыберыпты.,mixed,
6368,"Күшті, в подарок тағы 1штук салфетка салып қойыпты запискамен приятно.",mixed,
6372,"Каспи Магазинге рақмет, продавец TECNOMANIA рақмет, тағы бір салфетка салып жіберіпті, көп рақмет.",mixed,
6382,"Товар реально жақсы екен, компактный. Иісі жоқ.  1шт подарок қылып салып жіберіпті. Рахмет көп, доставка тез жетті.",mixed,
6401,Жақсы келді подарокка 1шт салып жіберді.,mixed,
6403,"Күшті зат екен. Балалардың сумкасына, каляскаға салып қоясың. Бағасы да қол жетімді еще.",mixed,
6412,"Теплый и заботливый стиль: Такие крошки, а сколько пользы! Жұмыста, үйде, сапарда – қолыңның тазалығын ойлап тұратын сенімді көмекші, рахмет за подарок, очень приятно. Буду заказывать еще раз.",mixed,
6415,Күшті постоянно аламын еще қасына подарка қосып жібереді.,mixed,
6422,"Рахмет үлкен, шағын, ыңғайлы салфеткалар, еще жанына подарок салып жіберіпті. TECHNOMANIA  дүкеніне рахмет!.",mixed,
6435,"Прям супер, зор, қатты ұнады, удобно и выго.",mixed,
6436,"Фотодағыдай келді, еще сыйлық салып жіберіпті.",mixed,
6438,Өте жақсы салфеткалар. Еще жанына подарок салыпты.,mixed,
6465,"Ыңғайлы екен, любой жерге өзінмен алып жүре аласын. Особенно. Мендей үлкен сумка ұстап алмайтындарға.",mixed,
6485,"Отличный салфетка, уже екінші рет алып жатырмын, прям күшті.",mixed,
6501,Каййф удобный всегда аламын осы салфеткиды.,mixed,
6513,"Рахмет үлкен мен как всегда осы салфеткаға тапсырыс беремін сапасы жақсы иісіде жағымды, подаркасына 1РЕAЛЬНЫЙ магазиніне рахмет. Затым уақытылы келді.",mixed,
6517,Керемет барлығы качественныи всем советую и жанына подарок салып жіберіпті рахмет көп көп оилағанымнанда керемет.,mixed,
