text,rating,language
Жақсы болып келді.,5,kaz
Отличный ластик за свою цену.,5,ru
Товар көңілімнен шықты жақсы өшіреді.,5,kaz
"Өшіргіштің бағасы өте тиімді, сапасы ойымдағыдай келді, тез арада жеткізіп берді, көп рахмет.",5,kaz
Хороший товар.,5,kaz
"Доставили вовремя, хорошо упаковали.",5,kaz
"Ластик Maped хорошего качества, цена очень приятная.",5,ru
"Ластик очень понравился, хорошо и аккуратно стирает.",5,ru
Стер все свои ошибки молодости.,5,ru
"Хороший, всегда покупаю, советую.",5,mixed
"Хорошенький, быстро доставили.",5,kaz
Хорошо стирает.,5,kaz
Качество тема.,5,ru
Хороший ластик. Спасибо.,5,ru
Очень хороший ластик.,5,ru
"Жақсы екен, алуға кеңес беремін.",5,kaz
Хороший товар.,5,kaz
"Ластик мягкий, упругий. Со своей функцией справляется!",5,kaz
"Зоор ұнады, жақсы өшіреді.",5,kaz
Өте керемет за такую цену.,5,kaz
"Жақсы, мықты екен, ұнады.",5,kaz
"Благодарю, заказываю неоднократно. Спасибо Каспи и продавцу.",5,ru
Очень хороший ластик. Очень хороший ластик.,5,ru
"Хороший ластик, еще закажу.",5,ru
"Өте жақсы өшіргіштер. Өз қалдырмайды, қағазды бүлдірмейді. Сапасы.",5,kaz
Сапасы өте жоғары. Қыздарым сурет салғанда қолданып жүр. Рахмет сатушы иесіне.,5,kaz
"Супер, и быстрая доставка.",5,ru
"Бағасына сай, уақытылы жеткізілді.",5,kaz
Хорошие стирательные резинки.,5,kaz
"Хороший ластик, на Каспи  дешевле, спасибо продавцу положил еще один в подарок! Доставка пришла вовремя.",5,ru
"Керемет өшіргіш, бағасы да арзан. Магазиндерде 40-50 тг тұрады жоқ дегенде.",5,kaz
Хороший ластик.,5,kaz
Өте күшті кетіргіш. Рахмет магазинге. Каспи магазинге.,5,kaz
"Хорошо стирает. Очень удобная, не кричащий дизайн.",5,ru
Сапасы күшті.,5,kaz
Качество отличное.,5,mixed
Супер ластик. Дочь довольна.,5,kaz
"Хороший ласкик, запакованный.",5,kaz
Хороший ластик.,5,kaz
Советую прям күшті келді.,5,kaz
Күшті екен!.,5,kaz
Осы фирманың өшіргіштері керемет нешінші жыл алып жүрмін.,5,kaz
Спасибо. Доставка раньше. Всё понравилось. Давно такими пользуемся.,5,ru
"Шикарный ластик, цена очень приятная, доставка вовремя.",5,ru
Хороший. Пришел вовремя.,5,kaz
"Керемет, өте арзан баға.",5,kaz
"Отличный ластик, цена сказка!",5,mixed
За такую цену шикарно.,5,kaz
Хороший ластик за свою стоимость.,5,ru
Өте арзан әрі сапалы.,5,kaz
Классная стерочка.,5,kaz
Отличное качество!,5,ru
Отличный ластик. Довольна покупкой.,5,ru
Хорошие дешевые ластики. Всегда заказываю тут за копейки.,5,ru
"Очень хороший ластик, все стирает отлично. За свою цену - идеально! В сравнении с другими, более дорогими, стирает намного лучше.",5,ru
Дешёвый и хороший.,5,ru
Понравилась особенно цена. Отличный ластик.,5,ru
"Ластик хороший, качество нормальное, моим детям нравится.",5,ru
"Очень удобные, покупала для учебы.",5,ru
"Быстрая доставка, отличный товар.",5,ru
"Обычные неплохие ластики. Тут цена копеечная, беру много.",5,kaz
Хороший.,5,kaz
Хороший ластик.,5,kaz
"Хорошего качества, не первый раз приобретаем.",5,ru
Жақсы істейді.,5,kaz
Күшті өшіргіш ұнады.,5,kaz
Доставка быстрая и цена хорошая.,5,ru
Нормальная резинка.,5,kaz
Рақмет көп 10 тенгенің заты болсада.,5,kaz
Стирает отлично,5,mixed
"Очень хороший ластик, полностью оправдывает свою цену.",5,ru
Благодарю за быструю доставку.,5,ru
Арзан зор екен.,5,kaz
"Өте керемет, ұнады маған, курьер балаға рахмет, жу<unk> і жылы өте керемет, күшті бәрі.",5,kaz
"Рахмет, тез жеткізілді.",5,kaz
Ластик керемет сапада. Каспи жеткізу қызметі жоғары дәрежеде. Aлматы TOO<unk> S дүкеніне көп рақмет. Өз істеріне үлкен жауапкершілікпен қарайды.,5,kaz
Отличный ластик! Как на фото.,5,ru
"Хороший ластик, мне понравилось.",5,mixed
"Качество отличное, просто супер.",5,ru
"Хороший телефон, любовница рада.",5,kaz
"Смартфон идеален, покупал в подарок любимой жена, она в восторге.",5,ru
"Очень быстро садиться батарейка, не советую.",1,ru
"Аппарат то, что надо. А всё что о нём говорят отрицательное - это лишь хейт. Айфон всегда превосходил и превосходит другие модели телефонов, и может приходится переплачивать за марку, но оно того стоит.",5,mixed
"Круто, уже пользуюсь 3 день, полет нормальный. Стал легче, тактильно приятный, камера подтянулась, автономность удовлетворяет, экран яркий и большой. Переходить с 14 про особого смысла нет. Если старее аппарат то однозначно смысл имеется.",5,mixed
"После 11 айфона конечно супер, Каспи , спасибо!",5,ru
"Купил телефон 15 pro Max у этого продавца. Телефон забрал сам, так как с  доставкой не известно когда привезли бы.  
Попросил побольше информации о телефоне - страну производитель, спрашивал несколько раз, он ответил Япония и молчок. 
Но как выяснилось на этих телефонах нет face time. По поводу возврата телефона спросил у продавца о защите прав потребителей - возврат телефона в течение 14 дней, но он сказал, что пломбы сорваны и уже не получится, в общем не рекомендовал бы этот магазин!",1,ru
"Решил попробовать опыт яблок, оказался обычный телефон как все по юзабилити, много что нелогичным и неудобным кажется после многих лет андройда. Однако все что касается плавности анимаций, экосистемы устройств, продуманности мелочей - тут пока ничего лучше не встречал. Набор текста бесит обратной логикой - нельзя просто ткнуть в конкретное место где опечатка. Нужно целый ритуал устраивать у удерживанием и прицеливанием. Запятая в отдельном меню это вообще катастрофа. Пришлось яндекс клавиатуру ставить. Жест назад работает редко где, да и только слева. В основном приходится перехватывать телефон или тянуться к отдельной кнопке возврата, которая обычно слева сверху. Казалось бы мелочь, а это сильно меньше удобства для управления одной рукой. И в пересчете на года использования ты просто несколько лишних часов тянешься к кнопкам вместо простого смачивания с любой стороны. Еще промакс шире андройдов, и я все еще промахиваюсь мимо кнопок, постоянные ошибки в наборе, не привык пока. Однако все это дело привычки. По фото все весьма обычно, андройды топы даже лучше, по видео наоборот самый топ айфон. По видео наоборот самый топ.",5,ru
"Телефон брали айфон 15 про макс еще месяца не было, он тупит, не работает, гнездо зарядки телефона тупит. В магазин позвонили, сказали сервис менеджер созвонится и никто не позвонил который день, где-то 3-4 дня уже прошло, ответ ждём. Что за компания не понимаю. Доказательство есть, но здесь видео не могу закидывать в комментарии!",1,ru
"Бұл дүкеннен алмаңыздар, ұзақ уақыт күттіңіздер, телефон алмайды.",1,kaz
"Купил 15 про Макс полное разочарование. Остался на своем 14 про. Отдал жене, пусть она мучается.",1,ru
"Телефон өте қатты қызып кетеді. Просто так. Келген алғашқы күннен бастап. Зарядка 100 ге жетпейді. Жетсе де әрееең жетеді. Ол үшін түнімен тұруы керек болады. Телефонды “SENSOR” деген магазиннен алғанбыз. Возврат жасалмайды екен ашқаннан соң. Енді оның жаман я жақсы екенін білу үшін бірінші ашпай ма. Қолданып көрмей ме? ашып, телефонды қоссаң болды возврат жоқ.",1,kaz
"Товар ужасного качества, вернул товар, т. к он бракованный, в итоге все ещё плачу за товар, которого у меня нет и денег не возвращают, не товар не меняют, ужасная компания, не отвечает на звонки и смс, не рекомендую.",1,ru
"Либо они пихнули мне уже юзанный телефон, либо телефон очень плохого качества.",1,ru
"Отличный телефон, легче по сравнению с 14 про Макс. Лучше сидит в руке и по ощущениям приятнее Оригинал, проверила на официальном сайте по серийному номеру. Версия предназначена для Японии, что забавно. Магазин Сенсор быстро доставил, в тот же день, когда был оформлен заказ. Было бы отлично, если бы все покупатели уточняли в отзывах название магазина, в котором они берут дорогостоящую технику, чтобы было понятно и другим покупателям, где стоит брать, а где нет.",5,ru
"Приобрели телефон. После месяца эксплуатации телефон на экран не реагирует. Сдали телефон на экспертизу, а длиться она 30 дней. Что делать мне в течение 30 дней без телефона, нет ответа.",1,ru
"Ужасное качество работы, не отвечают на телефон и на ватсап.",1,ru
"Один минус зарядка долго не держит, 4 день только пользуюсь уже такой минус.",1,mixed
"Покупал в магазине Sirius. Магазином, доставкой, качеством упаковки - доволен. Предварительно созвонился с магазином, чтобы узнать версию для какого рынка продают они (как и обещали версия с 1 физической сим-картой и 1 eSIM). Магазин рекомендую, вместе с коробкой была и годовая гарантия на заводской брак. Коробка на оригинальных пломбах, с этим без нареканий. По самому телефону - новый дизайн стал удобнее и более эргономично лежит в руке. Камеры прокачали, особенно 5х зум оптический вообще вещь. Автономность в норме. В среднем хватает на сутки. По поводу нагрева - есть такие моменты, когда нагревается, но не столь критично.",5,ru
"Мало того что долго ждала телефон, так еще и он при работе нагревается именно камеры и где сим карту вставляешь. Я не согласно оплачивать такую сумму за такие ужасные недостатки. Я надеялась, что камеры будут работать хорошо, да они работают, но при работе очень сильно перегреваются. Даже просто смотришь видео и то нагревается. И при видео звонках тоже самое нагревается.",1,ru
"Купила 15 про Макс в этом магазине. Телефон глючит сам по себе, держала всего лишь 1 месяц. Не стоит своих денег, 1. экран глючит. 2. фейс айди плохо работает! Можно сказать вообще толком то не работает. Мой 11 и то был намного лучше чем этот 15. Очень разочарована!",1,ru
"Всего недели назад получила, очень долго заряжался, а через неделю вовсе не поднимает больше 37%.",1,ru
"Товар в отличном состоянии. Зарядку держит долго, но когда заряжается нагревается сильно, переживаю. За товар 5 звезд, а вот магазин немного огорчил. Ладно, день два задержка. Но когда неделю товар не отправляете, можно же выйти на связь и сообщить о причине задержки, чтоб человек как минимум не нервничал! Очень долго ожидала доставку, вместо 27 февраля товар пришел только 5го марта. После того как я сама наконец-то дозвонилась продавец кормил завтраками, что заказов много, завтра отправим. И так день за днем, а потом и вовсе сказал, что в наличии нет данного цвета, ждем. Ну пришлось ждать, куда уже денешься, рассрочка то закончилась. Упакован хорошо, гарантийный талон был. Японец.",5,ru
"Телефон очень крутой, выглядит шикарно. Камера на высшем уровне, но есть некоторые нюансы, которые мне не понравились: 1 телефон ужасно нагревается. Адаптер тоже. Зарядки не хватает даже на 1 день. Новый телефон пару раз зависал и мне приходилось пару раз его перезапускать. Также хотелось бы, чтобы за такую огромную сумму в комплекте шел адаптер.",3,ru
Производства китай. Неге олай.,1,kaz
"Все бы вроде норм, но гарантия телефона истекшая + пленка на экране была заклеена криво.",3,ru
"Не берите 15. 1. 1. Сам телефон виснет и гонит. Жалею о покупке. Если у вас выбор между 14 и 15. Берите 14. Читала отзывы, что после обновления телефон «прекрасно заработал», полный бред, сам телефон имеет баги. Продавец Техно гик молодцы, оперативно доставили. Но покупка явно не стоит своих денег.",1,ru
"Супер телефон, любовник рад, продавец Qazphone отличный сервис, телефон японский, сборки на заметку.",5,ru
"Ох, я так долго искала магазин на Каспи, где действительно можно купить айфон 15 max pro оригинал. Оригинал. И благодаря отзывам клиентов всё таки нашла этот магазин IstarMobile. Честно говоря была в шоке от профессионального обслуживания. Продавец всегда был на связи и помог настроить телефон, перенести все данные с андроида на новый телефон. Это мой первый айфон. Честно говоря мне тяжеловато перестраиваться, поэтому очень важно было получить поддержку у продавца. Телефон отлично работает, настроили сим карты, чтобы все работали. В общем я счастлива. Спасибо большое. Успехов и процветания вашему магазину и терпения тоже.",5,ru
"Я бы хотела вернуть телефон, на который не могу закачать приложение.",2,ru
"Пользуюсь телефоном только 3 день, с первого дня он сильно нагревается, а когда заряжаешь телефон он вообще горит.",3,ru
Фонарик работает! Брал ради фонарика.,5,kaz
"Хочу написать честный отзыв о товаре и магазине, заказал телефон в качестве подарка, я очень доволен, во-первых отношением админа или продавца данного магазина. Всем добрый вечер. Честно не знаю, кто в должности человек который со мной общался, мне после заказа в Каспи позвонили и всё объяснили. Сроки и качество без приукраски, были на высоте, качество товара отличное, молодцы, хотя конечно при заказе я читал отзывы о продавце и товаре, это меня немного смутило. После получения, я думаю и это моё мнение, всем хорошим не будешь, ещё раз хочу сказать спасибо большое, данному магазину и конечно же пожелать успехов.",5,ru
"Сапасыз, Қытайдан келген екен, еще есим.",1,kaz
"Телефон сам хороший, но к сожалению заводской брак, это очень разочаровало меня. На обмен не согласились, так что двоякие впечатление остались. Так в целом телефон замечательный, камеры идеальные, экран замечательный. Под камерой пылинка была сразу с коробки.",3,ru
"Сим карта салатын орны жоқ, түсінбейміз.",1,kaz
Без симкарты деп жазып қоймайсыздарма.,1,kaz
"Аппарат отменный. Оригинальный, новый, японец. С гарантийным талоном приложили скрин с сайта Эпл с проверкой серийного номера. Проверил дополнительно сам. Все отлично.",5,ru
Кішкене жұмыс жасаса қызып кетеді. Сапасы өте төмен.,1,kaz
Зарядку вообще не держит. Мой старый лучше держал.,2,ru
"Телефону два дня, он нагревается больше 50 градусов, буду делать диагностику. У друзей с таким телефоном нет таких проблем. Люблю.",1,ru
Товар плохого качества.,3,ru
"Телефон не понравился, сильно греется экран когда пользуешься камерой, хочу вернуть или есть возможность поменять на 14 про макс.",1,ru
"Айфон 15 про макс алдым, зарядка енді тез кетеді. таңертең 100 боп тұрса түк істемей ашсаң уже 98 %. Күніне 2-3 рет точно зарядтау керек. Тағы минусы тез қызады 5-10 мин ішінде. Плюсы камера, фейс айдимен ашылатыны жақсы барлық приложение.",3,kaz
Көңілім толмай тұр китайский сияқты.,3,kaz
"Респект продавцу, товар прибыл на 4 дня раньше, мой подарок жене удался. Ей очень понравилось. До сих пор ходит в эйфории. Всё и всех забыла вокруг, даже перестала готовить еду. Эх этот айфон про макс.",5,ru
"Не советую брать айфон 15 про макс, который я купил, порт зарядки Type-C телефона через 2 месяца покупки уже не держит кабель, жаль, что так получилось, долгожданный телефон, из яблочного это был был первый телефон, ранее пользовался только Самсунгом, был Samsung Galaxy Note 20 Ultra аж 2019 года выпуска, у него такой проблем вообще нет, пользуюсь и сейчас! Итог: магазин -100, товар вообще -10000. Жаль, что первый опыт яблочного был такой.",1,ru
"Перешёл с Android на iOS, в целом переход вышел успешным, iPhone как оказалось очень быстрый. Долго держит заряд, имеет хорошую камеру, но я считаю все же не лучшую на рынке. Но меня бесят некоторые вещи на IPhone, которые никогда не бесили на Android. Первое ужасная клавиатура, второе нельзя поставить видео на паузу, третье здесь всё платное. Ты не можешь просто скачать из интернета, что-нибудь, тебе нужно это купить. В целом, рад покупкой, так как я наконец вышел из зоны комфорта, и попробовал, что-то новое. Смартфон амариканской сборки, то есть он не имеет физического лотка для пластиковой SIM карты, имейте это ввиду. Покупал у khan-tell, отличный магазин.",5,ru
"Алуға кеңес бермеймін, зряды тез отырып қалады.",1,kaz
"15 күнде зорғаа келді, бірақ телефон жақсы.",3,kaz
"Виснет гонит иногда, это мой первый айфон, но всё равно андроид лучше и удобно, у меня до этого был редми и то лучше по функциям, по детально я не могу написать, так как это много и долго, как телефончик обычный норм, но за такие деньги оно не стоит того, честно,  вообще жалею что взял этот айфон",1,ru
"Телефону даже нет месяца, сильно нагревается. Очень быстро садится зарядка, не хватает даже на день. За такую переплату разочарование.",2,ru
Очень дорого. Можно и подешевле сделать. Огорчён.,1,ru
На следующий день зарядное устройство перестало работать.,1,ru
"Зарядка быстро садится, гонит телефон, кнопки иногда не нажимаются, сеть плохо ловит, а так товар раньше срока получила.",1,ru
"Качество не очень, можно поменять.",1,ru
"Выражаю огромную благодарность магазину за быстрое и качественное обслуживание, доставку раньше срока. Приобрел IPhone 15 Pro Max в цвете натуральный титан. Дозвонился максимально быстро, меня проконсультировали и дали четкие ответы на все вопросы. Заказал айфон и за 4 дня он долетел с г. Алматы до г. Атбасар - шикарно. Айфон полностью оригинальный, проверил до активации, а так же после - все круто. Так же продавец приложил гарантию и хорошо упаковал. Добавить больше нечего, всем советую данного продавца.",5,ru
"Шикарный телефон, очень долго держит батарею.",5,ru
Просто супер! Я очень доволен покупкой!,5,ru
"Очень довольна! Спасибо большое! Так быстро пришёл заказ, даже на 2 дня раньше обещанного времени. Товар отличного качества.",5,ru
Esim не подключается.,1,kaz
3 күн кешіктірді. Жауапкершілігі жоқ.,1,kaz
Телефон нагревается.,1,kaz
"Айфон очень сильно жрёт батарею, на глазах!",1,ru
"Зарядкасы шыдамайды, айфон қызып кетеді, кішкене шұқыласаң.",2,kaz
Digital market дегеннен алмаңыздар слишком нашар. Қанашама ақшам далаға кетті.,1,kaz
"Телефон нагревается, зарядка быстро садится и доставка работает ужасно.",1,ru
"Все в идеале, если б не грелся, страшно будто взорвется.",3,ru
Зарядка быстро садится.,3,kaz
"Заказали 2 iPhone 15 Pro Max у продавца START DIGITAL! Советую всем данного продавца, так как они относятся добросовестно в своему делу! Отдельное спасибо менеджеру Амина. Написали им в WhatsApp, ответили в ту же минуту. Запросили фото товара, серийных номеров, предоставили без проблем, так же предоставили видео как упаковывали заказ. Передали заказ в пункт приёма в день заказа, чем сократили время доставки на 1 день! Накануне оформили заказ у другого продавца, они мало того что задержали передачу товара, так и ещё и с ними не получалось связаться, на телефоны не отвечали, WhatsApp не было. START DIGITAL молодцы! Если хотите высокий уровень сервиса и качественный iPhone покупайте у них!",5,ru
"Это моя самая лучшая покупка за последнее время, вчера была на концерте Akon, я стояла далеко, но мой 15 про мах снял так что я могла посчитать сколько волос у Akona ЗУМ любовь с первого взгляда.",5,ru
"Спасибо магазину OnMarket, оперативно доставили, хороший курьер и магазин выходит на связь 10/10, посмотрим как будет работать.",5,ru
"Сириустан алдым, Каспи есептелген уақыттан бұрын жеткізді, жаңа телефон, ешқандай ашылған ремонтталған емес, таза оригинал.",5,kaz
Сапасы өте нашар 15про макстың көшірмесі алғаныма өкініп қалдым камерасы онша емес бұлдырлатып түсіреді.,1,kaz
"Қатты қызады, тел хабарлассам алмайды.",1,kaz
