text,language,weight,source,label_id
Неге сонша созылған сот қанішер жауыз екені белгілі ғой анасы да бетпақ қатын екен ұядан не көрсең соны аласың дейді......,kz,3.0,real,1
"Бәрі жақсы болады деп үміттенемін. Интересно, про инфляцию что скажут.",mixed,3.0,real,2
"Здравствуйте. Всегда в валдберис  заказывала товар, и оплачивала только в пункте выдачи. Сегодня  хотела заказать товар - и только один вариант , оплатить сразу. Хотела узнать, у всех так? Это новые правила или как?",ru,3.0,real,0
Рақмет. Тағы біреуін қосып салып жіберіпті күшті.,kz,3.0,real,1
"За наркоту дают больше, чем за убийство",ru,3.0,real,0
Хорошие новости! Қазақ түрік бір туған!,mixed,3.0,real,2
Екі ел арасында барлық бағытта ынтымақтастықты нығайту қажет,kz,3.0,real,1
Туризмнің дамуы экономикалық процестерді көтеретіні анық. Өтте керемет және әдемі қала,kz,3.0,real,1
"Бдительнее болу керек екен, Нацбанк бақылап отыр",mixed,3.0,real,2
Товар көңілімнен шықты жақсы өшіреді.,kz,3.0,real,1
Интересно чем теперь занята полиция Алматы?,ru,3.0,real,0
Салық – кез келген мемлекеттің экономикалық негізін құрайтын маңызды қаржы құралы. Ол мемлекет пен қоғам арасындағы өзара жауапкершіліктің көрінісі болып табылады.,kz,3.0,real,1
"Это уже проблема об продаже валют, те кто хочет тот берет а вообще, я тут с тобой Келісем очень странно что данные финансовые Бизнесу люди которые выходят на рынок не знают что выше цена не залог Үлкен ақша!",mixed,3.0,real,2
Түбегейлі жауып тастау керек дым пайдасы жоқ адамға өлімнен басқа,kz,3.0,real,1
"Хорошо сработали, столько затыкали бы — улицы спокойнее болушь еді",mixed,3.0,real,2
"Күшті, арзан, тез келді оның үстіне.",kz,3.0,real,1
"Көрісу – это не просто встреча, а символ уважения к старшим и заботы о близких",mixed,3.0,real,2
"Главное, чтобы люди побыстрее вернулись к обычной жизни, күш-қуат берсін баршаңызға",mixed,3.0,real,2
"Құтты болсын! Поздравляю! Новому Казахстану-новые руководители, такие как Рустам Алиевич, эрудированный, грамотный, креативный!",mixed,3.0,real,2
"Контакт с АҚШ всегда плюс, экономикаға да, сыртқы саясатқа да пайдалы болады",mixed,3.0,real,2
"Древнейший народ, бәрін көрген ел ғой, Қытайды ешкім баса алмайды",mixed,3.0,real,2
"Шымкент дамып жатыр, азық-түлік бойынша да өзімізге жұмыс істеп жатқаны жақсы екен",kz,3.0,real,1
"Дүниежүзілік дін лидерлерінің съезі пайдалы болар, осындай кездесу керек-ақ",kz,3.0,real,1
"Дауысы өзімен өзі қатты шығып кете береді, азайтсаң автоматический қатты шығып кетеді.",mixed,3.0,real,2
"Жалко людей, соғыс ешкімге керек емес",mixed,3.0,real,2
"Балама ұнады, рахмет Каспи! Корыкпай алсаңдар, болат оригина.",kz,3.0,real,1
білмедім өзім А алған болатынмын оқылым бөлімінде,kz,3.0,real,1
По факту кінәлі болса қамау керек,mixed,3.0,real,2
"Наконец-то прямой канал на Европу будет, айти саласына жақсы серпін береді",mixed,3.0,real,2
"Очень жаль, қайғылы жағдай",mixed,3.0,real,2
"Еуропалық кеңестің негізгі міндеттерінің бірі – ЕО-ның жалпы саяси бағытын анықтау. Бұл ұйым тікелей заң қабылдамаса да, оның шешімдері Еуропалық парламент пен Еуропалық комиссияның жұмыс бағыттарына үлкен әсер етеді.",kz,3.0,real,1
"Бюджеттиқ жалақасы аздау болған үщун , хукым шығарады ал манызды деффицит және инфляцияны зертеп қадалап мамандарың аз жалақасы болған үшун олар тым миндетің толық актармайды өз өзимен иесиз қалды, ал зардабың ел тутынышылар щегип түр? Продовольственный кризис он регулируется с учетом дополнительной поставки тех продуктов где есть ажиотаж . При диффиците цена возрастает ! Необходимо снять напряжение и все ! Инфляцию можно предотвращать и управлять в пользу народа , а не в пользу монополистов!",mixed,3.0,real,2
Уақытынан бұрын келді. Бағасы просто вау.,mixed,3.0,real,2
"Для регионов это реально нужная штука, сапалы жабдық та әкеліпті",mixed,3.0,real,2
Енді прямой рейстар ашылатын шығар,mixed,3.0,real,2
А нельзя километры нагонять на разных улицах одновременно? Распределить машины и вперёд?,ru,3.0,real,0
короче жинаған баллына карап шешесинго примерно,mixed,3.0,real,2
"Если воруют без согласия , надо сажать и на очень долго",ru,3.0,real,0
"Вааау, молодцы ребята👍, у меня чуть сердце не остановилось, пока парнишка спускался на велосипеде. Аллам сақтасын,аман жүріңдер.",mixed,3.0,real,2
"Ерванд не просто спортсмен. Поднять флаг страны на Эверест и пройти Семь вершин это годы дисциплины, риска и реальной работы над собой. И это не про разовый успех, а про системный результат.",ru,3.0,real,0
"Безопасность бірінші орында, дұрыс жасап жатыр",mixed,3.0,real,2
Лишь бы не көрші елдің лжеІТмошенники болмасың😱😱🥶🥶,mixed,3.0,real,2
"Работают нормально парни, порядок керек қой",mixed,3.0,real,2
ЭКОНОМ СТРОЙ спасибо большое. Ластик очень хорошего качества. Рекомендую. Покупкой довольна.,ru,3.0,real,0
"Мир меняется, Қазақстанға да тиімді жағы бар",mixed,3.0,real,2
"Ну всё по закону, правильно что тексеріп жатыр",mixed,3.0,real,2
"Күшті салфетка, машинада тұрады, удоб.",kz,3.0,real,1
Қазаның арты қайырлы болсын . Ауыр,kz,3.0,real,1
"Деньги в дело кетеді, әлеуметтік жобаларға пайдасы тиеді ғой",mixed,3.0,real,2
"Жақсы, елге адамдары аман-есен қайтып жатыр, уақтылы шара қолданылған екен",kz,3.0,real,1
Надо было лет 15 вмазать,ru,3.0,real,0
"Сапасы жақсы, бізге ұнайды. Құрамында спирт жоқ, балаларға жиі қолданамын. Магнумнан 3 есе арзан.",kz,3.0,real,1
Мэсктагы бага не показатель менімше,mixed,3.0,real,2
"Әдемі, рахмет, уақытылы жеткізіп берді, бәрі өз ойлағанымдай.",kz,3.0,real,1
Аеткан вахытынанда тез келды рахмет.,kz,3.0,real,1
"Дружбу с Россией нужно укреплять, это сосед, с которым у нас общая история и тысячи связей.",ru,3.0,real,0
"Бәсе, где то видел. Рахмет",mixed,3.0,real,2
"Телефон очень хороший, спасибо продавцам, относиться очень хорошо к покупателю.",ru,3.0,real,0
"Полиция жұмыс істеп жатыр, ұзамай табылады",kz,3.0,real,1
"Мы одни из немногих стран, которая имеет такие ресурсы, как редкие металлы. Осыны дұрыс пайдалану керек.",mixed,3.0,real,2
Өз бағасына тиімді әрі сапасы жақсы.,kz,3.0,real,1
"Доллармен несуге компанияның кірісі тұрақты болмаса, қиындық туындайды",kz,3.0,real,1
"Спасибо большое, всё работает отлично.",ru,3.0,real,0
"Рахмет Каспи магазин, бізге әрдайым көмекке келеді, чехолды алдық, өте жақсы.",kz,3.0,real,1
"Хорошо, что решают проблему с нехваткой энергии. Надеюсь, план сработает.",ru,3.0,real,0
"Ну, безопасность үшін жасап жатыр ғой",mixed,3.0,real,2
"Круто, что строят новые школы, а то в некоторых районах реально не хватает мест для детей. Тапқан жоғыңыз өте жақсы болды!",mixed,3.0,real,2
"Телефон оригинал. Очень хорошо работает. Доча рада. Отдельное спасибо менеджеру Арайлым. Очень вежливая и приветливая, доставили за пару часов, сервис на высшем уровне!",ru,3.0,real,0
"Учитывая, что часть нарушений уже устранили, дұрыс шешім сияқты",mixed,3.0,real,2
Ұнады рақмет! Тегін деп есептеседе болады. Рақмет көп-көп!.,kz,3.0,real,1
Малый и средний бизнесты дамыту арқылы өзгеріс енгізуге болады негізі.,mixed,3.0,real,2
"Барлығына ораза қабыл болсын, сауаптан болсын ",kz,3.0,real,1
"Мошенничество при помощи дипфейков - вопросов нет. Оскорбление- тоже более - менее понятно, о чем речь идет. Но с каких пор   ""манипулирование общественным мнением"" стало преступлением или правонарушением? Любая политическая деятельность, пропаганда,  агитация или работа СМИ- в какой- то мере ""манипулирование""  этим самым общественным мнением и   его формирование.",ru,3.0,real,0
Айтылған уақыттан ерте келді. Жақсы қапталған. Ашылмаған сырылмаған өте керемет.,kz,3.0,real,1
Соляна еще идет в айту?,ru,3.0,real,0
"я не знаю, я собираюсь выбрать химбио, оно мне больше по душе",ru,3.0,real,0
"""Таза Қазақстан"" начинается с нас самих",mixed,3.0,real,2
ШОС саммиті аясында маңызды мәселелер талқыланатын болады.,kz,3.0,real,1
"Аман болсын, хорошо, что без жертв обошлось",mixed,3.0,real,2
Да там косяки с wine были,ru,3.0,real,0
"Хова, по новостям если судить частенько отказывают тормоза ..хотя мәшины новые. Представьте, такая махина несётся без тормозов😿",mixed,3.0,real,2
"Бәрі жақсы, тез алдым. Өте қатты ұнады.",kz,3.0,real,1
"Это групповой турнир, мы выиграли у КНР и ЮК, но проиграли Японии. Но Закон Кз поторопились, если сейчас КНР обыграют Японию, то у нас будет бронза. Это, конечно, маловероятно, но возможно. Хохолдарда мақал бар ғой - Не кажи гоп, пока не перепрыгнешь)",mixed,3.0,real,2
Астана күні мен ШОС саммиті аясында ұйымдастырылған шаралар үлкен маңызға ие.,kz,3.0,real,1
"Тура айттың, енді бастысы дұрыс қолға барып елге жұмыс істесе екен бұл активтар",kz,3.0,real,1
"Жақсы, инвестордың құқығы қорғалады екен. Енді бұндай істердің алдын алу керек қой.",kz,3.0,real,1
"Погода не шутит, сақ болыңдар",mixed,3.0,real,2
"Күшті салфеткалар. Қалтаға салып жүруге ыңғайлы, сүп сүйкімді. Еще подарочек витаминчик положили. Спасибо большое.",mixed,3.0,real,2
"Радует, что Казахстан поддерживает дружеские отношения с Польшей",ru,3.0,real,0
"Поддерживаю, порядок на дорогах керек, самокаты да ескерусіз қалмауы керек",mixed,3.0,real,2
"Отличные ластик, качество супер и цена приятная.",ru,3.0,real,0
"Это все неправда, только тут давят на сми, а там трава зеленее и все можно. (Сарказм)",ru,3.0,real,0
Отличные новости! Торгово-экономическое сотрудничество с Ираном может принести много пользы,ru,3.0,real,0
"Осы дұрыс бағыт сияқты, оқушыларға пайдалы ғо.",kz,3.0,real,1
"Дұрыс ескерткен, онлайнда абай болу керек",kz,3.0,real,1
На казахский лад звучать будет Ертұған и это имя.,mixed,3.0,real,2
"Всё поэтапно жүріпті, халықтың ұсынысын ескеріп жатыр",mixed,3.0,real,2
Енді бизнеске айқын әрі тиімді жағдай жасалады екен,kz,3.0,real,1
Хороший. Все как я думала. Камера просто мощь.,ru,3.0,real,0
"Предложат ему какие нибудь ништяки,  Эрдоган с ним ещё обниматься будет...",ru,3.0,real,0
"Приглушает звонки, то есть не по размеру.",ru,3.0,real,0
"Да, точно, организация Чемпионата мира по футболу позволила Катару продемонстрировать свои огромные возможности и ресурсы",ru,3.0,real,0
"Кажется вы не боитесь или не поняли, раз вы осуждаете других людей. Для многих Религия это прикрытие, для многих из ваших знакомых? Или вы всех людей увидели, что уже можете за всех говорить?",ru,3.0,real,0
Сол керек болған сияқты. Кінәсі дәлелденген ғой.,kz,3.0,real,1
Тек Шайдоров қа емес жеңіске жеткен барлық спортшыларға назар аударып жетыстерін қолдау керек,kz,3.0,real,1
"Сапасы да, бағасы да керемет, жылдам жеткізді және сыйлық салып жіберіпті, рахмет! Кішкентай сыйлық үлкен.",kz,3.0,real,1
"Сыйластығымыз таудан биік, тастан берік болсын",kz,3.0,real,1
подписка на ии не настоящая цена стоит еще)),ru,3.0,real,0
"Неужели до такого дошло, соғыс болмасын",mixed,3.0,real,2
Очень довольны покупкой! Спасибо Каспи и Сулпак!,ru,3.0,real,0
"Главное — эскалация болмаса екен, тыныштық керек",mixed,3.0,real,2
"С Ираном история қызық болды, архивтерден тағы не шығады екен",mixed,3.0,real,2
Хорошее качество. Беру не первый раз. Быстрая доставка.,ru,3.0,real,0
Бірге болсын! Рахмет. Нет не встречали такую информацию,mixed,3.0,real,2
Удачи желаю Нашим!!! АЛҒА ҚАЗАҚСТАН!!!,mixed,3.0,real,2
"Жақсы, балалар көп болса мемлекет қолдауын ұлғайтып жатыр екен",kz,3.0,real,1
"Жол жақсы болса, аймаққа пайдасы зор болады. Самый раз, күтеміз!",mixed,3.0,real,2
"Жарайсың..Нора. Она с Нарынкола..с.Текес...әкесі Жәкең менің құрдасым,молодец!!",mixed,3.0,real,2
"Первый раз слышу, чтоб за один приём можно ребёнку лечить несколько зубов да ещё под наркозом, внуков сама веду на прием к стомотологу один прием один зуб, перерыв день и только на 3день к стомотологу, тут какая та супер мама и стомотолог решили одним махом вылечить все зубы маленькому ребёнку, кишкентай саби жаның жатта болсын",mixed,3.0,real,2
"Оригинал болып келді, состояние бәрі жақсы, багасыда керемет.",kz,3.0,real,1
А надо брать пример с соседей,ru,3.0,real,0
"Осындай жолдар керек қой, кептелісті азайтады. Құрылыс басталғанша уақыт бар екен, жоспар жақсы сияқты.",kz,3.0,real,1
"Да что за формулировки ""должны"" то, ""должны"" сё. ""Должны"" язык знать, должны за свет, должны за газ,  Халық Құдайдың тегін берген ресурстарын алып жатыр, ал біз бәріне салық төлеуіміз керек. Мүмкін басқа би үшін полька немесе украин хопағын билей аламын. А не пойти ли вам, господа, вдоль по Питерской,Питерской, Питерской...",mixed,3.0,real,2
"Лучше детям, чем сатқынға",mixed,3.0,real,2
Осы қызға всегда бірдеңе жетпей қалады,kz,3.0,real,1
"Акелип берди уакытында, алгыс айтам. Жақсы дүкен екен, бәрі айфон деген соң алып жатырмыз тема екен!.",kz,3.0,real,1
"Отличный чехол, прозрачный, быстро доставили.",ru,3.0,real,0
"мм, доллар мен евро өсіп жатыр ғо",kz,3.0,real,1
"Телефон өте күшті сапада, маған ұнады басқаларгада сатып алуға кеңес беремін, Каспи магазин сатушга көп рақмет касиптерине.",kz,3.0,real,1
"К сыну принюхиваюсь,чтоб не курил,без этого хватает всяких вирусов.",ru,3.0,real,0
ты забыл упомянуть что у тя должен быть опыть работы в амазон и эпл,ru,3.0,real,0
Күшті сапасы өзіңмен алып жүруге арналған.,kz,3.0,real,1
"Мне очень понравился, спасибо большое.",ru,3.0,real,0
"күшті, еще қасында кішкентай влажныйы бар.",mixed,3.0,real,2
Керек емес АЭС жоғарыда айтылғандай. Бір қыста трубаларымыз қарай алмай жарылып халық қатып қалып отыр қыста. АЭС ты қарай алмайды ау,kz,3.0,real,1
Ботақан аман болса екен ,kz,3.0,real,1
Осындай алаяқтарға жол бермеу үшін заңды күшейту керек екен,kz,3.0,real,1
"Я согласна с вами,  что должны,  обязаны сохранять, но порой,  обидно именно за беззащитных,  которыми пользуются такие отморозки, как этот. И порой даже сходит с рук таким.",ru,3.0,real,0
"Мұнайдың иісі мұрнына барған адам ғой, дұрыс жұмыс жасайтын шығар.",kz,3.0,real,1
"Жақсы, жаңа темір жол деген заман талабына сай болу керек қой",kz,3.0,real,1
"Много шума ночью было в мире, но нам главное — тыныштық пен тұрақтылық",mixed,3.0,real,2
Для Казахстана тфу мә дит,mixed,3.0,real,2
Нет вроде) тоже зашла узнать. Я пока не получила,ru,3.0,real,0
"Нет, ещё более не понятно, так как не слышала ни об одной санкции против США, развязавших наибольшее число войн в истории человечества.",ru,3.0,real,0
"Удобно будет, аэропортқа дейін метро жетсе, халыққа жақсы болады",mixed,3.0,real,2
"Жақсы, теперь сот шешімін күтейік",mixed,3.0,real,2
"Молодец Расул, на финалдық жекпе-жекте мінез көрсетті",mixed,3.0,real,2
"школа мәселесі дұрыс қозғалды, балалардың денсаулығы мен білімі бәрінен маңызды",mixed,3.0,real,2
"Торговля жақсы дамып жатыр, инвестиция мен цифрландыру маңызды болғаны дұрыс",mixed,3.0,real,2
"И Вас били ойбай 😱не деген ""жауыздық""!",mixed,3.0,real,2
Культуры нет у наших людей ,ru,3.0,real,0
Поздравляю всех судей и работников судов с их профессиональным праздником! Ваш труд неоценим для общества.,ru,3.0,real,0
Алла шипасын берсын аман есен жазылып кетсын,kz,3.0,real,1
"Адам аман болса, бәрі жақсы болады деп үміттенеміз",kz,3.0,real,1
"Хоть у нас страна и с мирной политикой, хоть мы со всем в дружеских и партнерских отношениях, безопасность надо максимально повышать. Еліміз мәңгі бейбіт, аспанымыз ашық болсын",mixed,3.0,real,2
"Очень выгодно брать коробку именно этих конфет в ароматном мире.  В адк, магнуме онр на порядок дешевле. Конфеты вкусные и коробка презентабельная. Но я беру только с фундуком, остальные вкусы не нравятся. Ниже фото",ru,3.0,real,0
Әдемі жақсы телефон маға ұнады,kz,3.0,real,1
"Құтты болсын, процесс жүріп жатыр ғо ",kz,3.0,real,1
Щүкір. Не хватает. Зарабатывал больше.,mixed,3.0,real,2
"Как таких земля носит? Удивлюсь, если доживет до конца срока",ru,3.0,real,0
Айфон 13 екіншісін алып жатырмын. Пока әзірге жақсы жұмыс жасап тұр. Заказымыз екі күн бұрын келді. Каспиге рахмет!.,kz,3.0,real,1
"Надеюсь, что проект АЭС будет реализован в срок и без задержек",ru,3.0,real,0
"Как всегда РФ будет инвестором, купят как урановое месторождение, а потом нам же будут продавать уран для нашей АЭС, которое хотят построить",ru,3.0,real,0
"Смартфон идеален, покупал в подарок любимой жена, она в восторге.",ru,3.0,real,0
Товарыңызды алдық сапасы өте керемет көп көп рахмет!.,kz,3.0,real,1
С праздником всех! Пусть татулық всегда будет с нами.,mixed,3.0,real,2
"Доставка тез жеткізілді заказ берген күні, және телефон оригинал, качество, барлық жағынан жақсы, өте қуаныштымын.",mixed,3.0,real,2
"Доставка в срок, хорошие салфетки за приемлемую цену.",ru,3.0,real,0
попробую в одном видео уместить пояснение сразу на трех языках,ru,3.0,real,0
Енди кашындар оздеринин жумыстарнды битирмегендер,kz,3.0,real,1
Дружим со Швейцарией — экономикаға да плюс болады,mixed,3.0,real,2
"Мен 8 сынып оқығанда екі 12 сыныптың баласы осы өлеңдерді жаңа жылдық баллда орындап едіңдер, қандай тамаша! Іске сәт, ағатай!",kz,3.0,real,1
"Хорошая новость, скоро и в воздухе будем онлайн! ",ru,3.0,real,0
"Каспи магазинге рахмет, ИП Ботабаева магзин тез жеткізді.",kz,3.0,real,1
"Тихо бы все решилось, соғыс болмасын",mixed,3.0,real,2
Он просто Вам ничего не рассказывает ,ru,3.0,real,0
"В Астане 100летние, это все чимкентские",ru,3.0,real,0
"Ғимараттарға, тарихи-мә­де­ни орындарға сурет салып кететіндер көп. Өз атын әр жерге қайталап жаза беретіндер де аз емес. Сондай-ақ түнде бетпер­де киіп, рұқсат етілмеген жер­лерге барып сурет салып, по­лиция қызметкерлерінен қашып, содан ерекше адреналин ала­тындар да бар. Бұл – таза жа­байылықтың, мәдениеттің төмендігінің көрінісі, анық вандализм.",kz,3.0,real,1
Ну так-то США самый крупный товаропотребитель в мире. Около 20% всего мирового товаропотребления .,ru,3.0,real,0
Жарайсыңдар батырлар 🇰🇿💪🏻 все было на высоте 👍,mixed,3.0,real,2
"Пришло раньше времени, спасибо большое, оперативно и быстро.",ru,3.0,real,0
"Балл десе қорқатын болдық қой, хорошо что пробки",mixed,3.0,real,2
"Контроль күшейіпті, бәрін қадағалап отыр ғой",mixed,3.0,real,2
Айтылған барлық мәселелер қатаң бақылауда,kz,3.0,real,1
"Президенттің саяси реформаларды баса айтуы дұрыс шешім. Мәслихаттар халықтың мүддесін қорғауда үлкен рөл атқарады, сондықтан олардың қызметін жетілдіру қажет.",kz,3.0,real,1
"Посмотрим, конечно. Извечная борьба ""щита и меча"". Ну кто бы лет несколько назад мог предполагать, что мошенники  посчитают для себя целесообразным  ""синтезировать"" и использовать чужой голос...",ru,3.0,real,0
Анна и Лена 360° допрыгалась.,mixed,3.0,real,2
"Телефон өте күшті, бізге ұнады.",kz,3.0,real,1
Арадағы байланыс ожан сайын нығая берсін,kz,3.0,real,1
"Спасибо, товар пришел раньше срока.",ru,3.0,real,0
"Состав боевой, шанс бар сияқты",mixed,3.0,real,2
"Иманды болсың!!!, только один вопрос,а где были наши погран службы?постороний самолёт залетел в наше воздушное пространство,они не увидели его🤔",mixed,3.0,real,2
"Честно говоря, уже видим, как ледники тают. А раньше же было столько снега, а теперь как-то все изменилось.",ru,3.0,real,0
Президенттің ғылым мен білімді қолдауы дұрыс бағытта жасап жатқан жұмыс екенін көрсетеді,kz,3.0,real,1
Күшті әдемі болып келді және көбін заказ беріп қойдым.,kz,3.0,real,1
"Очень удобные салфетки, особенно деткам в школу! Всегда беру их.",ru,3.0,real,0
Керемет Жеткізде жақсы. Комерасы анық. Қолайлы ұстауға.,kz,3.0,real,1
"Керек нәрсе, енді заңсыз байығандар тығылып құтылмайды",kz,3.0,real,1
"Рахмет , қамқорлықтарыңа , адам өмірін сақтап қалғандарың үшін .",kz,3.0,real,1
о это тот самый который алты жеті?,mixed,3.0,real,2
6000 тыркелушы бар жогы 6000 тыркелушы,kz,3.0,real,1
Он наверно сказал не мой район,ru,3.0,real,0
Спасибо ф. Казахстан халқына. Мы очень надеемся что ещё больше детей получат лечения.,mixed,3.0,real,2
"Хорошо что вовремя тоқтатты, жастарға зиян еді",mixed,3.0,real,2
"Зеленский - полный профан в политике, он не может управлять страной и вести переговоры. Он даже просто говорить грамотно уже перестал",ru,3.0,real,0
"Ноябрь так то осень. Назовите ""күз-2024""",mixed,3.0,real,2
"Жақсы жоба екен, цифрлық трансформацияға үлес қосады ғо.",kz,3.0,real,1
Біздің талантты жастарымыз әлемнің түкпір түкпірінде,kz,3.0,real,1
Но за то НЕЗАВИСИМЫ ,ru,3.0,real,0
"Всех предупреждали ведь, не выезжайте, не выезжайте деп. Нет, прут и прут 🤦🏻‍♂️🤦🏻‍♂️ а потом еще претензии высказывают, Казавтожолу на нас наплевать деп, ұялмай қызармай 😏",mixed,3.0,real,2
"Всё правильно, антикорға нақты механизм керек еді",mixed,3.0,real,2
"Объездная дорога будет просто находкой! Теперь можно будет без пробок по области кататься. Жалпы, жақсы болар!",mixed,3.0,real,2
и свой город добавь и стек,ru,3.0,real,0
"Проверили, значит шу болған жоқ",mixed,3.0,real,2
"Давно пора жостко их тестировать,пора спустились дальше некуда.",ru,3.0,real,0
Я смотрю там в 1 и во 2 задании миниаппс,ru,3.0,real,0
"Спасибо за инфу, жарада шынымен сезіледі",mixed,3.0,real,2
"Бізге ұнады, өте жақсы иісі күшті. Рахмет, уақытынан ерте келді.",kz,3.0,real,1
Арзан әрі керемет. Жанында сыйлығы бар.,kz,3.0,real,1
"Өте күшті, маған ұнады, тағы алсам деймін қызыма.",kz,3.0,real,1
"Мәә такая молодец, словами не описать как мы рады за неё, еңбегің құтты болсын👍🏻👍🏻👍🏻",mixed,3.0,real,2
"Красавчик, мотивация реально бар екен жастарға",mixed,3.0,real,2
"Опыт есть, аймаққа пайдасы тиеді",mixed,3.0,real,2
"Айфон супер конечно, сын не нарадуется, говорит отличный телефон, самый лучший! Спасибо Каспи и магазину!",ru,3.0,real,0
"Тауар өте жақсы сапада келді, бағасы қолжетімді.",kz,3.0,real,1
Я на физик мектебі хожу,mixed,3.0,real,2
"Дұрыс, қадағалау керек қой. Тексеріп жатыр екен.",kz,3.0,real,1
Странно что на видео сказано он мальчик спас подростка хотя он никого не спас а его спасали,ru,3.0,real,0
"Откуда знают будет повтор или нет , бір Алла біледі",mixed,3.0,real,2
"Хорошо что это контролируется, осталось чтобы люди успели эвакуироваться",ru,3.0,real,0
Рахмет өте жақсы заттар. Бәрін жаксылап орап салыпты.,kz,3.0,real,1
"Понятно, бывает, главное — службы работают как надо",ru,3.0,real,0
Кстати Билайн   қазақ тілінде сөйлейді екен ,mixed,3.0,real,2
"Зарядкасы шыдамайды, айфон қызып кетеді, кішкене шұқыласаң.",kz,3.0,real,1
"Наши ребята за границей это тоже лицо страны, и их опыт может пригодиться дома.",ru,3.0,real,0
Когда наградите и признаете заслуги Қара майора. Будет справедливость или нет.,mixed,3.0,real,2
"Все верно, тоже так думаю, если они маленькие ведут так себя, то что с ними будет когда они повзрослеют. Родители если сейчас не воспитали в таком возрасте  детей!",ru,3.0,real,0
"Иногда реально дышать нечем, қысқартқан дұрыс время на улице",mixed,3.0,real,2
"Отлично, что поддержали такой важный праздник, как Көрісу күні!",mixed,3.0,real,2
